0,#,FORM,LEMMA,GRAM,COMMENT,CHECKED,CONTEXT,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM,
10254,# doc = hurricane.2.txt,,,,,,,,,,,,,,,,
10255,# speaker = Т,,,,,,,,,,,,,,,,
10256,# sent = 819,,,,,,,,,,,,,,,,
10257,,Когда,КОГДА,CONJ,,,_Когда_ у меня /,а,д,г,о,к,,CONJ,КОГДА,CONJ,А
10258,,у,У,PR,,,Когда _у_ меня / были,у,,,,,,PR,У,PR,У
10259,,меня,Я,SPRO sg 1p - acc,,,Когда у _меня_ / были маленькие,я,н,е,м,,,SPRO,Я,SPRO sg 1p - acc,Я
10260,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10261,,были,БЫТЬ,V ipf praet pl indic - -,,,"у меня / _были_ маленькие дети ,",и,л,ы,б,,,V,БЫТЬ,V ipf praet pl indic - -,Ь
10262,,маленькие,МАЛЕНЬКИЙ,A - nom pl plen - -,,,"меня / были _маленькие_ дети , то",е,и,к,ь,н,е,A,МАЛЕНЬКИЙ,A - nom pl plen - -,Й
10263,,дети,РЕБЕНОК,S m anim nom pl,,,"/ были маленькие _дети_ , то мы",и,т,е,д,,,S,РЕБЕНОК,S m anim nom pl,К
10264,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10265,,то,ТО,CONJ,,,"маленькие дети , _то_ мы / э",о,т,,,,,CONJ,ТО,CONJ,О
10266,,мы,МЫ,SPRO pl 1p - nom,,,"дети , то _мы_ / э /",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
10267,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10268,,э,Э,INTJ,,,то мы / _э_ / с родителями,э,,,,,,INTJ,Э,INTJ,Э
10269,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10270,,с,С,PR,,,/ э / _с_ родителями и /,с,,,,,,PR,С,PR,С
10271,,родителями,РОДИТЕЛЬ,S m anim ins pl,,,э / с _родителями_ и / и,и,м,я,л,е,т,S,РОДИТЕЛЬ,S m anim ins pl,Ь
10272,,и,И,CONJ,,,/ с родителями _и_ / и этими,и,,,,,,CONJ,И,CONJ,И
10273,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10274,,и,И,CONJ,,,родителями и / _и_ этими маленькими детьми,и,,,,,,CONJ,И,CONJ,И
10275,,этими,ЭТОТ,APRO - ins pl plen - -,,,и / и _этими_ маленькими детьми ездили,и,м,и,т,э,,APRO,ЭТОТ,A - ins pl plen - -,Т
10276,,маленькими,МАЛЕНЬКИЙ,A - ins pl plen - -,,,/ и этими _маленькими_ детьми ездили отдыхать,и,м,и,к,ь,н,A,МАЛЕНЬКИЙ,A - ins pl plen - -,Й
10277,,детьми,РЕБЕНОК,S m anim ins pl,,,и этими маленькими _детьми_ ездили отдыхать всегда,и,м,ь,т,е,д,S,РЕБЕНОК,S m anim ins pl,К
10278,,ездили,ЕЗДИТЬ,V ipf praet pl indic - -,,,этими маленькими детьми _ездили_ отдыхать всегда куда-то,и,л,и,д,з,е,V,ЕЗДИТЬ,V ipf praet pl indic - -,Ь
10279,,отдыхать,ОТДЫХАТЬ,V ipf - - inf - -,,,маленькими детьми ездили _отдыхать_ всегда куда-то в,ь,т,а,х,ы,д,V,ОТДЫХАТЬ,V ipf - - inf - -,Ь
10280,,всегда,ВСЕГДА,ADV -,,,детьми ездили отдыхать _всегда_ куда-то в лес,а,д,г,е,с,в,ADV,ВСЕГДА,ADV -,А
10281,,куда-то,КУДА-ТО,ADV -,,,"ездили отдыхать всегда _куда-то_ в лес ,",о,т,-,а,д,у,ADV,КУДА-ТО,ADV -,О
10282,,в,В,PR,,,"отдыхать всегда куда-то _в_ лес , на",в,,,,,,PR,В,PR,В
10283,,лес,ЛЕС,S m inan acc sg,,,"всегда куда-то в _лес_ , на озеро",с,е,л,,,,S,ЛЕС,S m inan acc sg,С
10284,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10285,,на,НА,PR,,,"в лес , _на_ озеро , на",а,н,,,,,PR,НА,PR,А
10286,,озеро,ОЗЕРО,S n inan acc sg,,,"лес , на _озеро_ , на речку",о,р,е,з,о,,S,ОЗЕРО,S n inan acc sg,О
10287,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10288,,на,НА,PR,,,"на озеро , _на_ речку // И",а,н,,,,,PR,НА,PR,А
10289,,речку,РЕЧКА,S f inan acc sg,,,"озеро , на _речку_ // И /",у,к,ч,е,р,,S,РЕЧКА,S f inan acc sg,А
10290,,//,//,PUNCT,,,,,,,,,,PUNCT,,,
10291,,И,И,CONJ,,,на речку // _И_ / ну /,и,,,,,,CONJ,И,CONJ,И
10292,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10293,,ну,НУ,PART,,,// И / _ну_ / ставили палатки,у,н,,,,,PART,НУ,PART,У
10294,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10295,,ставили,СТАВИТЬ,V ipf praet pl indic - -,,,"/ ну / _ставили_ палатки , был",и,л,и,в,а,т,V,СТАВИТЬ,V ipf praet pl indic - -,Ь
10296,,палатки,ПАЛАТКА,S f inan acc pl,,,"ну / ставили _палатки_ , был тент",и,к,т,а,л,а,S,ПАЛАТКА,S f inan acc pl,А
10297,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10298,,был,БЫТЬ,V ipf praet sg indic m -,,,"ставили палатки , _был_ тент , под",л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
10299,,тент,ТЕНТ,S m inan acc sg,,,"палатки , был _тент_ , под которым",т,н,е,т,,,S,ТЕНТ,S m inan acc sg,Т
10300,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10301,,под,ПОД,PR,,,"был тент , _под_ которым там /",д,о,п,,,,PR,ПОД,PR,Д
10302,,которым,КОТОРЫЙ,APRO - ins sg plen - -,,,"тент , под _которым_ там / строили",м,ы,р,о,т,о,APRO,КОТОРЫЙ,A - dat pl plen - -,Й
10303,,там,ТАМ,PART,,,", под которым _там_ / строили типа",м,а,т,,,,PART,ТАМ,PART,М
10304,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10305,,строили,СТРОИТЬ,V ipf praet pl indic - -,,,которым там / _строили_ типа кухни что-то,и,л,и,о,р,т,V,СТРОИТЬ,V ipf praet pl indic - -,Ь
10306,,типа,ТИПА,PART,,,"там / строили _типа_ кухни что-то ,",а,п,и,т,,,PART,ТИПА,PART,А
10307,,кухни,КУХНЯ,S f inan gen sg,,,"/ строили типа _кухни_ что-то , столы",и,н,х,у,к,,S,КУХНЯ,S f inan gen sg,Я
10308,,что-то,ЧТО-ТО,SPRO n inan acc sg,,,"строили типа кухни _что-то_ , столы ,",о,т,-,о,т,ч,SPRO,ЧТО-ТО,S n - acc sg,О
10309,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10310,,столы,СТОЛ,S m inan acc pl,,,"кухни что-то , _столы_ , стулья с",ы,л,о,т,с,,S,СТОЛ,S m inan acc pl,Л
10311,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10312,,стулья,СТУЛ,S m inan acc pl,,,", столы , _стулья_ с собой возили",я,ь,л,у,т,с,S,СТУЛ,S m inan acc pl,Л
10313,,с,С,PR,,,"столы , стулья _с_ собой возили ,",с,,,,,,PR,С,PR,С
10314,,собой,СЕБЯ,SPRO - - - ins,,,", стулья с _собой_ возили , ну",й,о,б,о,с,,SPRO,СЕБЯ,SPRO - - - ins,Я
10315,,возили,ВОЗИТЬ,V ipf praet pl indic - -,,,"стулья с собой _возили_ , ну ,",и,л,и,з,о,в,V,ВОЗИТЬ,V ipf praet pl indic - -,Ь
10316,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10317,,ну,НУ,PART,,,"собой возили , _ну_ ,  вощем",у,н,,,,,PART,НУ,PART,У
10318,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10319,"<distinct form=""",,,,,,,,,,,,,,,,
10320,<dist>,вощем,,,,,,,,,,,,,,,
10321,""">",,,,,,,,,,,,,,,,
10322,,в,В,PR,,,"вощем  _в_ общем  ,",в,,,,,,PR,В,,
10323,,общем,ОБЩИЙ,A - loc sg plen m -,,,"вощем  в _общем_  , была",м,е,щ,б,о,,A,ОБЩИЙ,,
10324,</distinct>,,,,,,,,,,,,,,,,
10325,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10326,,была,БЫТЬ,V ipf praet sg indic f -,,,"общем  , _была_ такая хорошая компания",а,л,ы,б,,,V,БЫТЬ,,
10327,,такая,ТАКОЙ,APRO - nom sg plen f -,,,", была _такая_ хорошая компания ,",я,а,к,а,т,,APRO,ТАКОЙ,,
10328,,хорошая,ХОРОШИЙ,A - nom sg plen f -,,,", была такая _хорошая_ компания , из",я,а,ш,о,р,о,A,ХОРОШИЙ,,
10329,,компания,КОМПАНИЯ,S f inan nom sg,,,"была такая хорошая _компания_ , из трёх",я,и,н,а,п,м,S,КОМПАНИЯ,,
10330,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10331,,из,ИЗ,PR,,,"хорошая компания , _из_ трёх / на",з,и,,,,,PR,ИЗ,,
10332,,трёх,ТРИ,NUM loc - -,,,"компания , из _трёх_ / на трёх",х,ё,р,т,,,NUM,ТРИ,,
10333,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10334,,на,НА,PR,,,из трёх / _на_ трёх - четырёх,а,н,,,,,PR,НА,,
10335,,трёх,ТРИ,NUM loc - -,,,трёх / на _трёх_ - четырёх машинах,х,ё,р,т,,,NUM,ТРИ,,
10336,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
10337,,четырёх,ЧЕТЫРЕ,NUM loc - -,,,"на трёх - _четырёх_ машинах , ээ",х,ё,р,ы,т,е,NUM,ЧЕТЫРЕ,,
10338,,машинах,МАШИНА,S f inan loc pl,,,"трёх - четырёх _машинах_ , ээ …",х,а,н,и,ш,а,S,МАШИНА,,
10339,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10340,,ээ,ЭЭ,NONLEX,,,"четырёх машинах , _ээ_ …",э,э,,,,,NONLEX,ЭЭ,,
10341,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
10342,,,,,,,,,,,,,,,,,
10343,# sent = 820,,,,,,,,,,,,,,,,
10344,"<distinct form=""",,,,,,,,,,,,,,,,
10345,<dist>,родитьли,,,,,,,,,,,,,,,
10346,""">",,,,,,,,,,,,,,,,
10347,,родители,РОДИТЕЛЬ,S m anim nom pl,,,родитьли  _родители_  у нас,и,л,е,т,и,д,S,РОДИТЕЛЬ,S m anim nom pl,Ь
10348,</distinct>,,,,,,,,,,,,,,,,
10349,,у,У,PR,,,родители  _у_ нас в МИФИ,у,,,,,,PR,У,PR,У
10350,,нас,МЫ,SPRO pl 1p - gen,,,родители  у _нас_ в МИФИ работали,с,а,н,,,,SPRO,МЫ,SPRO pl 1p - loc,Ы
10351,,в,В,PR,,,у нас _в_ МИФИ работали /,в,,,,,,PR,В,S - - nonflex -,В
10352,,МИФИ,МИФИ,S m inan loc sg,,,у нас в _МИФИ_ работали / ну,и,ф,и,м,,,S,МИФИ,S m inan gen sg,И
10353,,работали,РАБОТАТЬ,V ipf praet pl indic - -,,,нас в МИФИ _работали_ / ну /,и,л,а,т,о,б,V,РАБОТАТЬ,V ipf praet pl indic - -,Ь
10354,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10355,,ну,НУ,PART,,,"МИФИ работали / _ну_ / отцы ,",у,н,,,,,PART,НУ,PART,У
10356,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10357,,отцы,ОТЕЦ,S m anim nom pl,,,"/ ну / _отцы_ , вернее …",ы,ц,т,о,,,S,ОТЕЦ,S m anim nom pl,Ц
10358,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10359,,вернее,ВЕРНЕЕ,PARENTH,,,"/ отцы , _вернее_ … и такие",е,е,н,р,е,в,ADV,ВЕРНЕЕ,ADV -,Е
10360,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
10361,,и,И,CONJ,,,", вернее … _и_ такие были дружные",и,,,,,,CONJ,И,CONJ,И
10362,,такие,ТАКОЙ,APRO - nom pl plen - -,,,вернее … и _такие_ были дружные они,е,и,к,а,т,,APRO,ТАКОЙ,A - nom pl plen - -,Й
10363,,были,БЫТЬ,V ipf praet pl indic - -,,,… и такие _были_ дружные они по,и,л,ы,б,,,V,БЫТЬ,V ipf praet pl indic - -,Ь
10364,,дружные,ДРУЖНЫЙ,A - nom pl plen - -,,,и такие были _дружные_ они по,е,ы,н,ж,у,р,A,ДРУЖНЫЙ,A - nom pl plen - -,Й
10365,,они,ОНИ,SPRO pl - - nom,,,такие были дружные _они_ по  с,и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,И
10366,,по,ПО,PR,,,были дружные они _по_  с,о,п,,,,,PR,ПО,PR,О
10367,"<distinct form=""",,,,,,,,,,,,,,,,
10368,<dist>,с,,,,,,,,,,,,,,,
10369,""">",,,,,,,,,,,,,,,,
10370,,себе,СЕБЯ,SPRO - - - dat,,,с  _себе_  сами по,е,б,е,с,,,SPRO,СЕБЯ,SPRO - - - gen anom,Я
10371,</distinct>,,,,,,,,,,,,,,,,
10372,,сами,САМ,A - nom pl plen - -,,,"себе  _сами_ по себе ,",и,м,а,с,,,A,САМ,A - nom pl plen - -,М
10373,,по,ПО,PR,,,"себе  сами _по_ себе , ну",о,п,,,,,PR,ПО,PR,О
10374,,себе,СЕБЯ,SPRO - - - dat,,,"сами по _себе_ , ну и",е,б,е,с,,,SPRO,СЕБЯ,SPRO - - - dat,Я
10375,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10376,,ну,НУ,PART,,,"по себе , _ну_ и мы при",у,н,,,,,PART,НУ,PART,У
10377,,и,И,CONJ,,,"себе , ну _и_ мы при них",и,,,,,,CONJ,И,CONJ,И
10378,,мы,МЫ,SPRO pl 1p - nom,,,", ну и _мы_ при них ,",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
10379,,при,ПРИ,PR,,,"ну и мы _при_ них , как",и,р,п,,,,PR,ПРИ,PR,И
10380,,них,ОНИ,SPRO pl - - loc,,,"и мы при _них_ , как дети",х,и,н,,,,SPRO,ОНИ,SPRO pl - - loc,И
10381,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10382,,как,КАК,CONJ,,,"при них , _как_ дети , а",к,а,к,,,,CONJ,КАК,CONJ,К
10383,,дети,РЕБЕНОК,S m anim nom pl,,,"них , как _дети_ , а ,",и,т,е,д,,,S,РЕБЕНОК,S m anim nom pl,К
10384,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10385,,а,А,CONJ,,,"как дети , _а_ , соответственно ,",а,,,,,,CONJ,А,CONJ,А
10386,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10387,,соответственно,СООТВЕТСТВЕННО,PARENTH,,,", а , _соответственно_ , а наши",о,н,н,е,в,т,ADV,СООТВЕТСТВЕННО,ADV -,О
10388,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10389,,а,А,CONJ,,,", соответственно , _а_ наши дети при",а,,,,,,CONJ,А,CONJ,А
10390,,наши,НАШ,APRO - nom pl plen - -,,,"соответственно , а _наши_ дети при нас",и,ш,а,н,,,APRO,НАШ,A - nom pl plen - -,Ш
10391,,дети,РЕБЕНОК,S m anim nom pl,,,", а наши _дети_ при нас .",и,т,е,д,,,S,РЕБЕНОК,S m anim nom pl,К
10392,,при,ПРИ,PR,,,а наши дети _при_ нас .,и,р,п,,,,PR,ПРИ,PR,И
10393,,нас,МЫ,SPRO pl 1p - loc,,,наши дети при _нас_ .,с,а,н,,,,SPRO,МЫ,SPRO pl 1p - loc,Ы
10394,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
10395,,,,,,,,,,,,,,,,,
10396,# sent = 821,,,,,,,,,,,,,,,,
10397,# speaker = Т,,,,,,,,,,,,,,,,
10398,# sent = 822,,,,,,,,,,,,,,,,
10399,,Вот,ВОТ,PART,,,_Вот_ … и это,т,о,в,,,,PART,ВОТ,PART,Т
10400,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
10401,,и,И,CONJ,,,Вот … _и_ это был,и,,,,,,CONJ,И,CONJ,И
10402,,это,ЭТО,SPRO n - nom sg,,,Вот … и _это_ был  о,о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
10403,,был,БЫТЬ,V ipf praet sg indic m -,,,… и это _был_  о,л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
10404,"<distinct form=""",,,,,,,,,,,,,,,,
10405,<dist>,о,,,,,,,,,,,,,,,
10406,""">",,,,,,,,,,,,,,,,
10407,,отличный,ОТЛИЧНЫЙ,A - nom sg plen m -,,,о  _отличный_  … был,й,ы,н,ч,и,л,A,ОТЛИЧНЫЙ,A - nom sg plen m -,Й
10408,</distinct>,,,,,,,,,,,,,,,,
10409,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
10410,,был,БЫТЬ,V ipf praet sg indic m -,,,"отличный  … _был_ отличный отдых ,",л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
10411,,отличный,ОТЛИЧНЫЙ,A - nom sg plen m -,,,"… был _отличный_ отдых , народу",й,ы,н,ч,и,л,A,ОТЛИЧНЫЙ,A - nom sg plen m -,Й
10412,,отдых,ОТДЫХ,S m inan nom sg,,,"… был отличный _отдых_ , народу вокруг",х,ы,д,т,о,,S,ОТДЫХ,S m inan nom sg,Х
10413,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10414,,народу,НАРОД,S m inan gen2 sg,,,"отличный отдых , _народу_ вокруг никого ,",у,д,о,р,а,н,S,НАРОД,S m inan - sg,Д
10415,,вокруг,ВОКРУГ,PR,,,"отдых , народу _вокруг_ никого , рыбалка",г,у,р,к,о,в,PR,ВОКРУГ,PR,Г
10416,,никого,НИКТО,SPRO m - gen sg,,,", народу вокруг _никого_ , рыбалка ,",о,г,о,к,и,н,S,НИКТО,S m - gen sg,О
10417,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10418,,рыбалка,РЫБАЛКА,S f inan nom sg,,,"вокруг никого , _рыбалка_ , грибы ,",а,к,л,а,б,ы,S,РЫБАЛКА,S f inan nom sg,А
10419,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10420,,грибы,ГРИБ,S m inan nom pl,,,", рыбалка , _грибы_ , ягоды //",ы,б,и,р,г,,S,ГРИБ,S m inan acc pl,Б
10421,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10422,,ягоды,ЯГОДА,S f inan nom pl,,,", грибы , _ягоды_ // В общем",ы,д,о,г,я,,S,ЯГОДА,S f inan nom pl,А
10423,,//,//,PUNCT,,,,,,,,,,PUNCT,,,
10424,,В,В,PR,,,", ягоды // _В_ общем ,",в,,,,,,PR,В,PR,В
10425,,общем,ОБЩИЙ,A - loc sg plen m -,,,"ягоды // В _общем_ ,  все",м,е,щ,б,о,,A,ОБЩИЙ,A - loc sg plen m -,Й
10426,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10427,"<distinct form=""",,,,,,,,,,,,,,,,
10428,<dist>,все,,,,,,,,,,,,,,,
10429,""">",,,,,,,,,,,,,,,,
10430,,всех,ВСЕ,S - - loc pl,,,все  _всех_  ... всех,х,е,с,в,,,S,ВСЕ,S - - loc pl,Е
10431,</distinct>,,,,,,,,,,,,,,,,
10432,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
10433,,всех,ВСЕ,S - - loc pl,,,"всех  ... _всех_ это устраивало ,",х,е,с,в,,,S,ВСЕ,S - - loc pl,Е
10434,,это,ЭТО,SPRO n - nom sg,,,"... всех _это_ устраивало , всем",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
10435,,устраивало,УСТРАИВАТЬ,V ipf praet sg indic n -,,,"... всех это _устраивало_ , всем это",о,л,а,в,и,а,V,УСТРАИВАТЬ,V ipf praet sg indic n -,Ь
10436,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10437,,всем,ВСЕ,S - - dat pl,,,"это устраивало , _всем_ это очень нравилось",м,е,с,в,,,S,ВСЕ,S - - dat pl,Е
10438,,это,ЭТО,SPRO n - nom sg,,,"устраивало , всем _это_ очень нравилось ,",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
10439,,очень,ОЧЕНЬ,ADV -,,,", всем это _очень_ нравилось , и",ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
10440,,нравилось,НРАВИТЬСЯ,V ipf praet sg indic n -,,,"всем это очень _нравилось_ , и мы",ь,с,о,л,и,в,V,НРАВИТЬСЯ,V ipf praet sg indic n -,Я
10441,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10442,,и,И,CONJ,,,"очень нравилось , _и_ мы долгое время",и,,,,,,CONJ,И,CONJ,И
10443,,мы,МЫ,SPRO pl 1p - nom,,,"нравилось , и _мы_ долгое время так",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
10444,,долгое,ДОЛГИЙ,A - acc sg plen n inan,,,", и мы _долгое_ время так ездили",е,о,г,л,о,д,A,ДОЛГИЙ,A - acc sg plen n inan,Й
10445,,время,ВРЕМЯ,S n inan acc sg,,,"и мы долгое _время_ так ездили ,",я,м,е,р,в,,S,ВРЕМЯ,S n inan acc sg,Я
10446,,так,ТАК,ADV -,,,"мы долгое время _так_ ездили , и",к,а,т,,,,ADV,ТАК,ADV -,К
10447,,ездили,ЕЗДИТЬ,V ipf praet pl indic - -,,,"долгое время так _ездили_ , и вот",и,л,и,д,з,е,V,ЕЗДИТЬ,V ipf praet pl indic - -,Ь
10448,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10449,,и,И,CONJ,,,"так ездили , _и_ вот  ка",и,,,,,,CONJ,И,CONJ,И
10450,,вот,ВОТ,PART,,,"ездили , и _вот_  ка",т,о,в,,,,PART,ВОТ,PART,Т
10451,"<distinct form=""",,,,,,,,,,,,,,,,
10452,<dist>,ка,,,,,,,,,,,,,,,
10453,""">                                                                                                                                ",,,,,,,,,,,,,,,,
10454,,как-то,КАК-ТО,ADV -,,,ка  _как-то_  ... однажды,о,т,-,к,а,к,ADV,КАК-ТО,ADV -,О
10455,</distinct>,,,,,,,,,,,,,,,,
10456,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
10457,,однажды,ОДНАЖДЫ,ADV -,,,как-то  ... _однажды_ был у нас,ы,д,ж,а,н,д,ADV,ОДНАЖДЫ,ADV -,Ы
10458,,был,БЫТЬ,V ipf praet sg indic m -,,,... однажды _был_ у нас такой,л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
10459,,у,У,PR,,,... однажды был _у_ нас такой случай,у,,,,,,PR,У,PR,У
10460,,нас,МЫ,SPRO pl 1p - gen,,,однажды был у _нас_ такой случай /,с,а,н,,,,SPRO,МЫ,SPRO pl 1p - loc,Ы
10461,,такой,ТАКОЙ,APRO - nom sg plen m -,,,был у нас _такой_ случай / ээ,й,о,к,а,т,,APRO,ТАКОЙ,A - nom sg plen m -,Й
10462,,случай,СЛУЧАЙ,S m inan nom sg,,,у нас такой _случай_ / ээ /,й,а,ч,у,л,с,S,СЛУЧАЙ,S m inan nom sg,Й
10463,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10464,,ээ,ЭЭ,NONLEX,,,такой случай / _ээ_ / честно сказать,э,э,,,,,NONLEX,ЭЭ,NONLEX,Э
10465,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10466,,честно,ЧЕСТНО,ADV -,,,"/ ээ / _честно_ сказать , не",о,н,т,с,е,ч,ADV,ЧЕСТНО,ADV -,О
10467,,сказать,СКАЗАТЬ,V pf - - inf - -,,,"ээ / честно _сказать_ , не помню",ь,т,а,з,а,к,V,СКАЗАТЬ,V pf - - inf - -,Ь
10468,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10469,,не,НЕ,PART,,,"честно сказать , _не_ помню , в",е,н,,,,,PART,НЕ,PART,Е
10470,,помню,ПОМНИТЬ,V ipf praes sg indic - 1p,,,"сказать , не _помню_ , в каком",ю,н,м,о,п,,V,ПОМНИТЬ,V ipf praes sg indic - 1p,Ь
10471,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10472,,в,В,PR,,,"не помню , _в_ каком году ,",в,,,,,,PR,В,PR,В
10473,,каком,КАКОЙ,APRO - loc sg plen m -,,,"помню , в _каком_ году , был",м,о,к,а,к,,APRO,КАКОЙ,A - loc sg plen m -,Й
10474,,году,ГОД,S m inan loc2 sg,,,", в каком _году_ , был ураган",у,д,о,г,,,S,ГОД,S m inan loc2 sg,Д
10475,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10476,,был,БЫТЬ,V ipf praet sg indic m -,,,"каком году , _был_ ураган .",л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
10477,,ураган,УРАГАН,S m inan nom sg,,,"году , был _ураган_ .",н,а,г,а,р,у,S,УРАГАН,S m inan nom sg,Н
10478,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
10479,,,,,,,,,,,,,,,,,
10480,# sent = 823,,,,,,,,,,,,,,,,
10481,# speaker = Т,,,,,,,,,,,,,,,,
10482,# sent = 824,,,,,,,,,,,,,,,,
10483,,Мы,МЫ,SPRO pl 1p - nom,,,_Мы_ себе спокойно ложились,ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
10484,,себе,СЕБЕ,PART,,,Мы _себе_ спокойно ложились спать,е,б,е,с,,,PART,СЕБЯ,PART,Я
10485,,спокойно,СПОКОЙНО,ADV -,,,"Мы себе _спокойно_ ложились спать ,",о,н,й,о,к,о,ADV,СПОКОЙНО,ADV -,О
10486,,ложились,ЛОЖИТЬСЯ,V ipf praet pl indic - -,,,"Мы себе спокойно _ложились_ спать , вечер",ь,с,и,л,и,ж,V,ЛОЖИТЬСЯ,V ipf praet pl indic - -,Я
10487,,спать,СПАТЬ,V ipf - - inf - -,,,"себе спокойно ложились _спать_ , вечер был",ь,т,а,п,с,,V,СПАТЬ,V ipf - - inf - -,Ь
10488,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
