0,#,FORM,LEMMA,GRAM,COMMENT,CHECKED,CONTEXT,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM,
10489,,вечер,ВЕЧЕР,S m inan nom sg,,,"ложились спать , _вечер_ был , вдруг",р,е,ч,е,в,,S,ВЕЧЕР,S m inan nom sg,Р
10490,,был,БЫТЬ,V ipf praet sg indic m -,,,"спать , вечер _был_ , вдруг подул",л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
10491,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10492,,вдруг,ВДРУГ,ADV -,,,"вечер был , _вдруг_ подул очень сильный",г,у,р,д,в,,ADV,ВДРУГ,ADV -,Г
10493,,подул,ПОДУТЬ,V pf praet sg indic m -,,,"был , вдруг _подул_ очень сильный ветер",л,у,д,о,п,,V,ПОДУТЬ,V pf praet sg indic m -,Ь
10494,,очень,ОЧЕНЬ,ADV -,,,", вдруг подул _очень_ сильный ветер .",ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
10495,,сильный,СИЛЬНЫЙ,A - nom sg plen m -,,,вдруг подул очень _сильный_ ветер .,й,ы,н,ь,л,и,A,СИЛЬНЫЙ,A - nom sg plen m -,Й
10496,,ветер,ВЕТЕР,S m inan nom sg,,,подул очень сильный _ветер_ .,р,е,т,е,в,,S,ВЕТЕР,S m inan nom sg,Р
10497,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
10498,,,,,,,,,,,,,,,,,
10499,# sent = 825,,,,,,,,,,,,,,,,
10500,,Дети,РЕБЕНОК,S m anim nom pl,,,".   _Дети_ уже спали ,",и,т,е,д,,,S,РЕБЕНОК,S m anim nom pl,К
10501,,уже,УЖЕ,ADV -,,,"Дети _уже_ спали , мы",е,ж,у,,,,ADV,УЖЕ,ADV -,Е
10502,,спали,СПАТЬ,V ipf praet pl indic - -,,,"Дети уже _спали_ , мы так",и,л,а,п,с,,V,СПАТЬ,V ipf praet pl indic - -,Ь
10503,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10504,,мы,МЫ,SPRO pl 1p - nom,,,"уже спали , _мы_ так тоже уже",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
10505,,так,ТАК,ADV -,,,"спали , мы _так_ тоже уже в",к,а,т,,,,ADV,ТАК,ADV -,К
10506,,тоже,ТОЖЕ,PART,,,", мы так _тоже_ уже в палатках",е,ж,о,т,,,PART,ТОЖЕ,PART,Е
10507,,уже,УЖЕ,ADV -,,,мы так тоже _уже_ в палатках засыпали,е,ж,у,,,,ADV,УЖЕ,ADV -,Е
10508,,в,В,PR,,,"так тоже уже _в_ палатках засыпали ,",в,,,,,,PR,В,PR,В
10509,,палатках,ПАЛАТКА,S f inan loc pl,,,"тоже уже в _палатках_ засыпали , вдруг",х,а,к,т,а,л,S,ПАЛАТКА,S f inan loc pl,А
10510,,засыпали,ЗАСЫПАТЬ,V pf praet pl indic - -,,,"уже в палатках _засыпали_ , вдруг мы",и,л,а,п,ы,с,V,ЗАСЫПАТЬ,V pf praet pl indic - -,Ь
10511,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10512,,вдруг,ВДРУГ,ADV -,,,"палатках засыпали , _вдруг_ мы поняли ,",г,у,р,д,в,,ADV,ВДРУГ,ADV -,Г
10513,,мы,МЫ,SPRO pl 1p - nom,,,"засыпали , вдруг _мы_ поняли , что",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
10514,,поняли,ПОНЯТЬ,V pf praet pl indic - -,,,", вдруг мы _поняли_ , что палатка",и,л,я,н,о,п,V,ПОНЯТЬ,V pf praet pl indic - -,Ь
10515,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10516,,что,ЧТО,CONJ,,,"мы поняли , _что_ палатка наша /",о,т,ч,,,,CONJ,ЧТО,CONJ,О
10517,,палатка,ПАЛАТКА,S f inan nom sg,,,"поняли , что _палатка_ наша / улетает",а,к,т,а,л,а,S,ПАЛАТКА,S f inan nom sg,А
10518,,наша,НАШ,APRO - nom sg plen f -,,,", что палатка _наша_ / улетает !",а,ш,а,н,,,APRO,НАШ,A - nom sg plen f -,Ш
10519,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10520,,улетает,УЛЕТАТЬ,V ipf praes sg indic - 3p,,,палатка наша / _улетает_ !,т,е,а,т,е,л,V,УЛЕТАТЬ,V ipf praes sg indic - 3p,Ь
10521,,!,!,PUNCT,,,,,,,,,,PUNCT,,,
10522,,,,,,,,,,,,,,,,,
10523,# sent = 826,,,,,,,,,,,,,,,,
10524,,Мы,МЫ,SPRO pl 1p - nom,,,!   _Мы_ с мужем встали,ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
10525,,с,С,PR,,,"Мы _с_ мужем встали ,",с,,,,,,PR,С,PR,С
10526,,мужем,МУЖ,S m anim ins sg,,,"Мы с _мужем_ встали ,",м,е,ж,у,м,,S,МУЖ,S m anim ins sg,Ж
10527,,встали,ВСТАТЬ,V pf praet pl indic - -,,,"Мы с мужем _встали_ ,  у",и,л,а,т,с,в,V,ВСТАТЬ,V pf praet pl indic - -,Ь
10528,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10529,"<distinct form=""",,,,,,,,,,,,,,,,
10530,<dist>,у,,,,,,,,,,,,,,,
10531,""">                                                                                                                                ",,,,,,,,,,,,,,,,
10532,,ухватились,УХВАТИТЬСЯ,V pf praet pl indic - -,,,у  _ухватились_  ... ухватились,ь,с,и,л,и,т,V,УХВАТИТЬСЯ,V pf praet pl indic - -,Я
10533,</distinct>,,,,,,,,,,,,,,,,
10534,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
10535,,ухватились,УХВАТИТЬСЯ,V pf praet pl indic - -,,,ухватились  ... _ухватились_ за / ээ,ь,с,и,л,и,т,V,УХВАТИТЬСЯ,V pf praet pl indic - -,Я
10536,,за,ЗА,PR,,,... ухватились _за_ / ээ /,а,з,,,,,PR,ЗА,PR,А
10537,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10538,,ээ,ЭЭ,NONLEX,,,ухватились за / _ээ_ / за края,э,э,,,,,NONLEX,ЭЭ,NONLEX,Э
10539,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10540,,за,ЗА,PR,,,"/ ээ / _за_ края , за",а,з,,,,,PR,ЗА,PR,А
10541,,края,КРАЙ,S m inan acc pl,,,"ээ / за _края_ , за /",я,а,р,к,,,S,КРАЙ,S m inan gen sg,Й
10542,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10543,,за,ЗА,PR,,,"за края , _за_ / стойки ,",а,з,,,,,PR,ЗА,PR,А
10544,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10545,,стойки,СТОЙКА,S f inan acc pl,,,", за / _стойки_ , но ветер",и,к,й,о,т,с,S,СТОЙКА,S f inan gen sg,А
10546,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10547,,но,НО,CONJ,,,"/ стойки , _но_ ветер все сильнее",о,н,,,,,CONJ,НО,CONJ,О
10548,,ветер,ВЕТЕР,S m inan nom sg,,,"стойки , но _ветер_ все сильнее ,",р,е,т,е,в,,S,ВЕТЕР,S m inan nom sg,Р
10549,,все,ВСЕ,S - - acc pl,,,", но ветер _все_ сильнее , дождь",е,с,в,,,,S,ВСЕ,S - - acc pl,Е
10550,,сильнее,СИЛЬНО,ADV comp,,,"но ветер все _сильнее_ , дождь пошел",е,е,н,ь,л,и,ADV,СИЛЬНО,ADV comp,О
10551,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10552,,дождь,ДОЖДЬ,S m inan nom sg,,,"все сильнее , _дождь_ пошел сильный ,",ь,д,ж,о,д,,S,ДОЖДЬ,S m inan nom sg,Ь
10553,,пошел,ПОЙТИ,V pf praet sg indic m -,,,"сильнее , дождь _пошел_ сильный , родители",л,е,ш,о,п,,V,ПОЙТИ,V pf praet sg indic m -,И
10554,,сильный,СИЛЬНЫЙ,A - nom sg plen m -,,,", дождь пошел _сильный_ , родители уже",й,ы,н,ь,л,и,A,СИЛЬНЫЙ,A - nom sg plen m -,Й
10555,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10556,,родители,РОДИТЕЛЬ,S m anim nom pl,,,"пошел сильный , _родители_ уже все тоже",и,л,е,т,и,д,S,РОДИТЕЛЬ,S m anim nom pl,Ь
10557,,уже,УЖЕ,ADV -,,,"сильный , родители _уже_ все тоже повылезали",е,ж,у,,,,ADV,УЖЕ,ADV -,Е
10558,,все,ВСЕ,S - - nom pl,,,", родители уже _все_ тоже повылезали из",е,с,в,,,,S,ВСЕ,S - - nom pl,Е
10559,,тоже,ТОЖЕ,PART,,,родители уже все _тоже_ повылезали из палаток,е,ж,о,т,,,PART,ТОЖЕ,PART,Е
10560,,повылезали,ПОВЫЛЕЗАТЬ,V pf praet pl indic - -,,,"уже все тоже _повылезали_ из палаток ,",и,л,а,з,е,л,V,ПОВЫЛЕЗАТЬ,V pf praet pl indic - -,Ь
10561,,из,ИЗ,PR,,,"все тоже повылезали _из_ палаток , ну",з,и,,,,,PR,ИЗ,PR,З
10562,,палаток,ПАЛАТКА,S f inan gen pl,,,"тоже повылезали из _палаток_ , ну ,",к,о,т,а,л,а,S,ПАЛАТКА,S f inan gen pl,А
10563,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10564,,ну,НУ,PART,,,"из палаток , _ну_ , когда начали",у,н,,,,,PART,НУ,PART,У
10565,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10566,,когда,КОГДА,CONJ,,,", ну , _когда_ начали падать деревья",а,д,г,о,к,,CONJ,КОГДА,CONJ,А
10567,,начали,НАЧАТЬ,V pf praet pl indic - -,,,"ну , когда _начали_ падать деревья ,",и,л,а,ч,а,н,V,НАЧАТЬ,V pf praet pl indic - -,Ь
10568,,падать,ПАДАТЬ,V ipf - - inf - -,,,", когда начали _падать_ деревья , то",ь,т,а,д,а,п,V,ПАДАТЬ,V ipf - - inf - -,Ь
10569,,деревья,ДЕРЕВО,S n inan acc pl,,,"когда начали падать _деревья_ , то мы",я,ь,в,е,р,е,S,ДЕРЕВО,S n inan acc pl,О
10570,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10571,,то,ТО,CONJ,,,"падать деревья , _то_ мы поняли ,",о,т,,,,,CONJ,ТО,CONJ,О
10572,,мы,МЫ,SPRO pl 1p - nom,,,"деревья , то _мы_ поняли , что",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
10573,,поняли,ПОНЯТЬ,V pf praet pl indic - -,,,", то мы _поняли_ , что нам",и,л,я,н,о,п,V,ПОНЯТЬ,V pf praet pl indic - -,Ь
10574,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10575,,что,ЧТО,CONJ,,,"мы поняли , _что_ нам реально угрожает",о,т,ч,,,,CONJ,ЧТО,CONJ,О
10576,,нам,МЫ,SPRO pl 1p - dat,,,"поняли , что _нам_ реально угрожает опасность",м,а,н,,,,SPRO,МЫ,SPRO pl 1p - dat,Ы
10577,,реально,РЕАЛЬНО,ADV -,,,", что нам _реально_ угрожает опасность ,",о,н,ь,л,а,е,ADV,РЕАЛЬНО,ADV -,О
10578,,угрожает,УГРОЖАТЬ,V ipf praes sg indic - 3p,,,"что нам реально _угрожает_ опасность ,",т,е,а,ж,о,р,V,УГРОЖАТЬ,V ipf praes sg indic - 3p,Ь
10579,,опасность,ОПАСНОСТЬ,S f inan nom sg,,,"нам реально угрожает _опасность_ ,  птшто",ь,т,с,о,н,с,S,ОПАСНОСТЬ,S f inan nom sg,Ь
10580,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10581,"<distinct form=""",,,,,,,,,,,,,,,,
10582,<dist>,птшто,,,,,,,,,,,,,,,
10583,""">                                                                                                                                ",,,,,,,,,,,,,,,,
10584,,потому что,потому что,CONJ,,,птшто  _потому что_  кругом это,о,т,ч,,у,м,CONJ,потому что,CONJ,о
10585,</distinct>,,,,,,,,,,,,,,,,
10586,,кругом,КРУГОМ,ADV -,,,потому что  _кругом_ это же все,м,о,г,у,р,к,ADV,КРУГОМ,ADV -,М
10587,,это,ЭТО,SPRO n - nom sg,,,потому что  кругом _это_ же все в,о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
10588,,же,ЖЕ,PART,,,кругом это _же_ все в лесу,е,ж,,,,,PART,ЖЕ,PART,Е
10589,,все,ВСЁ,SPRO n - nom sg,,,"кругом это же _все_ в лесу ,",е,с,в,,,,S,ВСЕ,S - - nom pl,Е
10590,,в,В,PR,,,"это же все _в_ лесу , вот",в,,,,,,PR,В,PR,В
10591,,лесу,ЛЕС,S m inan loc2 sg,,,"же все в _лесу_ , вот .",у,с,е,л,,,S,ЛЕС,S m inan loc2 sg,С
10592,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10593,,вот,ВОТ,PART,,,"в лесу , _вот_ .",т,о,в,,,,PART,ВОТ,PART,Т
10594,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
10595,,,,,,,,,,,,,,,,,
10596,# sent = 827,,,,,,,,,,,,,,,,
10597,# speaker = Т,,,,,,,,,,,,,,,,
10598,# sent = 828,,,,,,,,,,,,,,,,
10599,,Старшие,СТАРШИЙ,S m anim nom pl,,,_Старшие_ сказали : немедленно,е,и,ш,р,а,т,S,СТАРШИЙ,S m anim nom pl,Й
10600,,сказали,СКАЗАТЬ,V pf praet pl indic - -,,,Старшие _сказали_ : немедленно все,и,л,а,з,а,к,V,СКАЗАТЬ,V pf praet pl indic - -,Ь
10601,,:,:,PUNCT,,,,,,,,,,PUNCT,,,
10602,,немедленно,НЕМЕДЛЕННО,ADV -,,,Старшие сказали : _немедленно_ все в машины,о,н,н,е,л,д,ADV,НЕМЕДЛЕННО,ADV -,О
10603,,все,ВСЕ,S - - nom pl,,,"сказали : немедленно _все_ в машины ,",е,с,в,,,,S,ВСЕ,S - - nom pl,Е
10604,,в,В,PR,,,": немедленно все _в_ машины , выезжаем",в,,,,,,PR,В,PR,В
10605,,машины,МАШИНА,S f inan acc pl,,,"немедленно все в _машины_ , выезжаем в",ы,н,и,ш,а,м,S,МАШИНА,S f inan gen sg,А
10606,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10607,,выезжаем,ВЫЕЗЖАТЬ,V ipf praes pl indic - 1p,,,"в машины , _выезжаем_ в поле ,",м,е,а,ж,з,е,V,ВЫЕЗЖАТЬ,V ipf praes pl indic - 1p,Ь
10608,,в,В,PR,,,"машины , выезжаем _в_ поле , будем",в,,,,,,PR,В,PR,В
10609,,поле,ПОЛЕ,S n inan acc sg,,,", выезжаем в _поле_ , будем там",е,л,о,п,,,S,ПОЛЕ,S n inan loc sg,Е
10610,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10611,,будем,БЫТЬ,V ipf - pl indic - 1p,,,"в поле , _будем_ там пережидать ,",м,е,д,у,б,,V,БЫТЬ,V ipf - pl imper - 1p,Ь
10612,,там,ТАМ,ADV -,,,"поле , будем _там_ пережидать , чтобы",м,а,т,,,,ADV,ТАМ,ADV -,М
10613,,пережидать,ПЕРЕЖИДАТЬ,V ipf - - inf - -,,,", будем там _пережидать_ , чтобы хотя бы",ь,т,а,д,и,ж,V,ПЕРЕЖИДАТЬ,V ipf - - inf - -,Ь
10614,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10615,,чтобы,ЧТОБЫ,CONJ,,,"там пережидать , _чтобы_ хотя бы деревья на",ы,б,о,т,ч,,CONJ,ЧТОБЫ,CONJ,Ы
10616,,хотя бы,хотя бы,ADV -,,,"пережидать , чтобы _хотя бы_ деревья на нас",ы,б,,я,т,о,ADV,хотя бы,ADV -,ы
10617,,деревья,ДЕРЕВО,S n inan nom pl,,,", чтобы хотя бы _деревья_ на нас не",я,ь,в,е,р,е,S,ДЕРЕВО,S n inan nom pl,О
10618,,на,НА,PR,,,чтобы хотя бы деревья _на_ нас не падали,а,н,,,,,PR,НА,PR,А
10619,,нас,МЫ,SPRO pl 1p - acc,,,хотя бы деревья на _нас_ не падали .,с,а,н,,,,SPRO,МЫ,SPRO pl 1p - loc,Ы
10620,,не,НЕ,PART,,,деревья на нас _не_ падали .,е,н,,,,,PART,НЕ,PART,Е
10621,,падали,ПАДАТЬ,V ipf praet pl indic - -,,,на нас не _падали_ .,и,л,а,д,а,п,V,ПАДАТЬ,V ipf praet pl indic - -,Ь
10622,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
10623,,,,,,,,,,,,,,,,,
10624,# sent = 829,,,,,,,,,,,,,,,,
10625,,Ну,НУ,PART,,,.   _Ну_ мы по машинам,у,н,,,,,PART,НУ,PART,У
10626,,мы,МЫ,SPRO pl 1p - nom,,,Ну _мы_ по машинам расселись,ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
10627,,по,ПО,PR,,,"Ну мы _по_ машинам расселись ,",о,п,,,,,PR,ПО,PR,О
10628,,машинам,МАШИНА,S f inan dat pl,,,"Ну мы по _машинам_ расселись ,",м,а,н,и,ш,а,S,МАШИНА,S f inan dat pl,А
10629,,расселись,РАССЕСТЬСЯ,V pf praet pl indic - -,,,"мы по машинам _расселись_ ,  пое",ь,с,и,л,е,с,V,РАССЕСТЬСЯ,V pf praet pl indic - -,Я
10630,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10631,"<distinct form=""",,,,,,,,,,,,,,,,
10632,<dist>,пое,,,,,,,,,,,,,,,
10633,""">                                                                                                                               ",,,,,,,,,,,,,,,,
10634,,поехали,ПОЕХАТЬ,V pf praet pl indic - -,,,пое  _поехали_  выехали в,и,л,а,х,е,о,V,ПОЕХАТЬ,V pf praet pl indic - -,Ь
10635,</distinct>,,,,,,,,,,,,,,,,
10636,,выехали,ВЫЕХАТЬ,V pf praet pl indic - -,,,"поехали  _выехали_ в поле ,",и,л,а,х,е,ы,V,ВЫЕХАТЬ,V pf praet pl indic - -,Ь
10637,,в,В,PR,,,"поехали  выехали _в_ поле , и",в,,,,,,PR,В,PR,В
10638,,поле,ПОЛЕ,S n inan acc sg,,,"выехали в _поле_ , и там",е,л,о,п,,,S,ПОЛЕ,S n inan loc sg,Е
10639,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10640,,и,И,CONJ,,,"в поле , _и_ там нам пришлось",и,,,,,,CONJ,И,CONJ,И
10641,,там,ТАМ,ADV -,,,"поле , и _там_ нам пришлось ночевать",м,а,т,,,,ADV,ТАМ,ADV -,М
10642,,нам,МЫ,SPRO pl 1p - dat,,,", и там _нам_ пришлось ночевать .",м,а,н,,,,SPRO,МЫ,SPRO pl 1p - dat,Ы
10643,,пришлось,ПРИЙТИСЬ,V pf praet sg indic n -,,,и там нам _пришлось_ ночевать .,ь,с,о,л,ш,и,V,ПРИЙТИСЬ,V pf praet sg indic n -,Ь
10644,,ночевать,НОЧЕВАТЬ,V ipf - - inf - -,,,там нам пришлось _ночевать_ .,ь,т,а,в,е,ч,V,НОЧЕВАТЬ,V ipf - - inf - -,Ь
10645,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
10646,,,,,,,,,,,,,,,,,
10647,# sent = 830,,,,,,,,,,,,,,,,
10648,,Дождь,ДОЖДЬ,S m inan nom sg,,,.   _Дождь_ лил  вабще,ь,д,ж,о,д,,S,ДОЖДЬ,S m inan nom sg,Ь
10649,,лил,ЛИТЬ,V ipf praet sg indic m -,,,Дождь _лил_  вабще,л,и,л,,,,V,ЛИТЬ,V ipf praet sg indic m -,Ь
10650,"<distinct form=""",,,,,,,,,,,,,,,,
10651,<dist>,вабще,,,,,,,,,,,,,,,
10652,""">                                                                                                                                ",,,,,,,,,,,,,,,,
10653,,вообще,ВООБЩЕ,ADV -,,,"вабще  _вообще_  , ходили",е,щ,б,о,о,в,ADV,ВООБЩЕ,ADV -,Е
10654,</distinct>,,,,,,,,,,,,,,,,
10655,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10656,,ходили,ХОДИТЬ,V ipf praet pl indic - -,,,"вообще  , _ходили_ на кухню там",и,л,и,д,о,х,V,ХОДИТЬ,V ipf praet pl indic - -,Ь
10657,,на,НА,PR,,,", ходили _на_ кухню там",а,н,,,,,PR,НА,PR,А
10658,,кухню,КУХНЯ,S f inan acc sg,,,", ходили на _кухню_ там  ежли",ю,н,х,у,к,,S,КУХНЯ,S f inan acc sg,Я
10659,,там,ТАМ,ADV -,,,ходили на кухню _там_  ежли,м,а,т,,,,ADV,ТАМ,ADV -,М
10660,"<distinct form=""",,,,,,,,,,,,,,,,
10661,<dist>,ежли,,,,,,,,,,,,,,,
10662,""">",,,,,,,,,,,,,,,,
10663,,ежели,ЕЖЕЛИ,CONJ,,,ежли  _ежели_   чё,и,л,е,ж,е,,CONJ,ЕЖЕЛИ,CONJ,И
10664,</distinct>,,,,,,,,,,,,,,,,
10665,"<distinct form=""",,,,,,,,,,,,,,,,
10666,<dist>,чё,,,,,,,,,,,,,,,
10667,""">                                                                                                                                ",,,,,,,,,,,,,,,,
10668,,что,ЧТО,ADV -,,,чё  _что_  поесть взять,о,т,ч,,,,ADV,ЧТО,ADV -,О
10669,</distinct>,,,,,,,,,,,,,,,,
10670,,поесть,ПОЕСТЬ,V pf - - inf - -,,,"что  _поесть_ взять босиком ,",ь,т,с,е,о,п,V,ПОЕСТЬ,V pf - - inf - -,Ь
10671,,взять,ВЗЯТЬ,V pf - - inf - -,,,"что  поесть _взять_ босиком , по",ь,т,я,з,в,,V,ВЗЯТЬ,V pf - - inf - -,Ь
10672,,босиком,БОСИКОМ,ADV -,,,"поесть взять _босиком_ , по колено",м,о,к,и,с,о,ADV,БОСИКОМ,ADV -,М
10673,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10674,,по,ПО,PR,,,"взять босиком , _по_ колено в воде",о,п,,,,,PR,ПО,PR,О
10675,,колено,КОЛЕНО,S n inan acc sg,,,"босиком , по _колено_ в воде .",о,н,е,л,о,к,S,КОЛЕНО,S n inan acc sg,О
10676,,в,В,PR,,,", по колено _в_ воде .",в,,,,,,PR,В,PR,В
10677,,воде,ВОДА,S f inan loc sg,,,по колено в _воде_ .,е,д,о,в,,,S,ВОДА,S f inan loc sg,А
10678,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
10679,,,,,,,,,,,,,,,,,
10680,# sent = 831,,,,,,,,,,,,,,,,
10681,"<distinct form=""",,,,,,,,,,,,,,,,
10682,<dist>,Токо,,,,,,,,,,,,,,,
10683,""">",,,,,,,,,,,,,,,,
10684,,Только,ТОЛЬКО,PART,,,Токо  _Только_  наш папа,о,к,ь,л,о,т,PART,ТОЛЬКО,PART,О
10685,</distinct>,,,,,,,,,,,,,,,,
10686,,наш,НАШ,APRO - nom sg plen m -,,,"Только  _наш_ папа , мой",ш,а,н,,,,APRO,НАШ,A - nom sg plen m -,Ш
10687,,папа,ПАПА,S m anim nom sg,,,"Только  наш _папа_ , мой муж",а,п,а,п,,,S,ПАПА,S m anim nom sg,А
10688,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10689,,мой,МОЙ,APRO - nom sg plen m -,,,"наш папа , _мой_ муж , всмысле",й,о,м,,,,APRO,МОЙ,A - nom sg plen m -,Й
10690,,муж,МУЖ,S m anim nom sg,,,"папа , мой _муж_ , всмысле ,",ж,у,м,,,,S,МУЖ,S m anim nom sg,Ж
10691,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10692,,всмысле,ВСМЫСЛ,S m inan loc sg,distort,,"мой муж , _всмысле_ , он сказал",е,л,с,ы,м,с,S,ВСМЫСЛ,S m inan loc sg,Л
10693,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10694,,он,ОН,SPRO sg 3p m nom,,,", всмысле , _он_ сказал ,",н,о,,,,,SPRO,ОН,SPRO sg 3p m nom,Н
10695,,сказал,СКАЗАТЬ,V pf praet sg indic m -,,,"всмысле , он _сказал_ ,  шо",л,а,з,а,к,с,V,СКАЗАТЬ,V pf praet sg indic m -,Ь
10696,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10697,"<distinct form=""",,,,,,,,,,,,,,,,
10698,<dist>,шо,,,,,,,,,,,,,,,
10699,""">",,,,,,,,,,,,,,,,
10700,,что,ЧТО,CONJ,,,шо  _что_  ему в,о,т,ч,,,,CONJ,ЧТО,CONJ,О
10701,</distinct>,,,,,,,,,,,,,,,,
10702,,ему,ОН,SPRO sg 3p m dat,,,что  _ему_ в машине спать,у,м,е,,,,SPRO,ОН,SPRO sg 3p m dat,Н
10703,,в,В,PR,,,что  ему _в_ машине спать неудобно,в,,,,,,PR,В,PR,В
10704,,машине,МАШИНА,S f inan loc sg,,,"ему в _машине_ спать неудобно ,",е,н,и,ш,а,м,S,МАШИНА,S f inan loc sg,А
10705,,спать,СПАТЬ,V ipf - - inf - -,,,"ему в машине _спать_ неудобно , и",ь,т,а,п,с,,V,СПАТЬ,V ipf - - inf - -,Ь
10706,,неудобно,НЕУДОБНО,PRAEDIC,,,"в машине спать _неудобно_ , и пошел",о,н,б,о,д,у,PRAEDIC,НЕУДОБНО,ADV -,О
10707,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10708,,и,И,CONJ,,,"спать неудобно , _и_ пошел спать в",и,,,,,,CONJ,И,CONJ,И
10709,,пошел,ПОЙТИ,V pf praet sg indic m -,,,"неудобно , и _пошел_ спать в палатку",л,е,ш,о,п,,V,ПОЙТИ,V pf praet sg indic m -,И
10710,,спать,СПАТЬ,V ipf - - inf - -,,,", и пошел _спать_ в палатку .",ь,т,а,п,с,,V,СПАТЬ,V ipf - - inf - -,Ь
10711,,в,В,PR,,,и пошел спать _в_ палатку .,в,,,,,,PR,В,PR,В
10712,,палатку,ПАЛАТКА,S f inan acc sg,,,пошел спать в _палатку_ .,у,к,т,а,л,а,S,ПАЛАТКА,S f inan acc sg,А
10713,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
10714,,,,,,,,,,,,,,,,,
