0,#,FORM,LEMMA,GRAM,COMMENT,CHECKED,CONTEXT,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM,
10715,# sent = 832,,,,,,,,,,,,,,,,
10716,,Мы,МЫ,SPRO pl 1p - nom,,,".   _Мы_ , конечно ,",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
10717,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10718,,конечно,КОНЕЧНО,ADV -,,,"Мы , _конечно_ , все переживали",о,н,ч,е,н,о,ADV,КОНЕЧНО,ADV -,О
10719,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10720,,все,ВСЕ,S - - nom pl,,,", конечно , _все_ переживали ,",е,с,в,,,,S,ВСЕ,S - - nom pl,Е
10721,,переживали,ПЕРЕЖИВАТЬ,V ipf praet pl indic - -,,,"конечно , все _переживали_ ,  птшто",и,л,а,в,и,ж,V,ПЕРЕЖИВАТЬ,V ipf praet pl indic - -,Ь
10722,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10723,"<distinct form=""",,,,,,,,,,,,,,,,
10724,<dist>,птшто,,,,,,,,,,,,,,,
10725,""">",,,,,,,,,,,,,,,,
10726,,потому что,потому что,CONJ,,,птшто  _потому что_  дерево упадет,о,т,ч,,у,м,CONJ,потому что,CONJ,о
10727,</distinct>,,,,,,,,,,,,,,,,
10728,,дерево,ДЕРЕВО,S n inan nom sg,,,потому что  _дерево_ упадет - оно,о,в,е,р,е,д,S,ДЕРЕВО,S n inan nom sg,О
10729,,упадет,УПАСТЬ,V pf fut sg indic - 3p,,,потому что  дерево _упадет_ - оно таки,т,е,д,а,п,у,V,УПАСТЬ,V pf fut sg indic - 3p,Ь
10730,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
10731,,оно,ОНО,SPRO sg 3p n nom,,,"дерево упадет - _оно_ таки упало ,",о,н,о,,,,SPRO,ОНО,SPRO sg 3p n nom,О
10732,,таки,ТАКИ,PART,,,"упадет - оно _таки_ упало , но",и,к,а,т,,,PART,ТАКИ,PART,И
10733,,упало,УПАСТЬ,V pf praet sg indic n -,,,"- оно таки _упало_ , но промахнулось",о,л,а,п,у,,V,УПАСТЬ,V pf praet sg indic n -,Ь
10734,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10735,,но,НО,CONJ,,,"таки упало , _но_ промахнулось , по",о,н,,,,,CONJ,НО,CONJ,О
10736,,промахнулось,ПРОМАХНУТЬСЯ,V pf praet sg indic n -,,,"упало , но _промахнулось_ , по палатке",ь,с,о,л,у,н,V,ПРОМАХНУТЬСЯ,V pf praet sg indic n -,Я
10737,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10738,,по,ПО,PR,,,"но промахнулось , _по_ палатке не попало",о,п,,,,,PR,ПО,PR,О
10739,,палатке,ПАЛАТКА,S f inan dat sg,,,"промахнулось , по _палатке_ не попало ,",е,к,т,а,л,а,S,ПАЛАТКА,S f inan loc sg,А
10740,,не,НЕ,PART,,,", по палатке _не_ попало , вот",е,н,,,,,PART,НЕ,PART,Е
10741,,попало,ПОПАДАТЬ,V pf praet sg indic n -,,,"по палатке не _попало_ , вот .",о,л,а,п,о,п,V,ПОПАДАТЬ,V pf praet sg indic n -,Ь
10742,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10743,,вот,ВОТ,PART,,,"не попало , _вот_ .",т,о,в,,,,PART,ВОТ,PART,Т
10744,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
10745,,,,,,,,,,,,,,,,,
10746,# sent = 833,,,,,,,,,,,,,,,,
10747,# speaker = Т,,,,,,,,,,,,,,,,
10748,# sent = 834,,,,,,,,,,,,,,,,
10749,,Ну,НУ,PART,,,"_Ну_ , и это",у,н,,,,,PART,НУ,PART,У
10750,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10751,,и,И,CONJ,,,"Ну , _и_ это длилось почти",и,,,,,,CONJ,И,CONJ,И
10752,,это,ЭТО,SPRO n - nom sg,,,"Ну , и _это_ длилось почти сутки",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
10753,,длилось,ДЛИТЬСЯ,V ipf praet sg indic n -,,,", и это _длилось_ почти сутки ,",ь,с,о,л,и,л,V,ДЛИТЬСЯ,V ipf praet sg indic n -,Я
10754,,почти,ПОЧТИ,ADV -,,,"и это длилось _почти_ сутки , /",и,т,ч,о,п,,ADV,ПОЧТИ,ADV -,И
10755,,сутки,СУТКИ,S - inan acc pl,,,"это длилось почти _сутки_ , / в",и,к,т,у,с,,S,СУТКИ,S - inan acc pl,И
10756,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10757,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10758,,в,В,PR,,,"сутки , / _в_ общем - то",в,,,,,,PR,В,PR,В
10759,,общем,ОБЩИЙ,A - loc sg plen m -,,,", / в _общем_ - то ну",м,е,щ,б,о,,A,ОБЩИЙ,A - loc sg plen m -,Й
10760,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
10761,,то,ТО,CONJ,,,в общем - _то_ ну потом ветер,о,т,,,,,CONJ,ТО,CONJ,О
10762,,ну,НУ,PART,,,"общем - то _ну_ потом ветер ,",у,н,,,,,PART,НУ,PART,У
10763,,потом,ПОТОМ,ADV -,,,"- то ну _потом_ ветер , конечно",м,о,т,о,п,,ADV,ПОТОМ,ADV -,М
10764,,ветер,ВЕТЕР,S m inan nom sg,,,"то ну потом _ветер_ , конечно ,",р,е,т,е,в,,S,ВЕТЕР,S m inan nom sg,Р
10765,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10766,,конечно,КОНЕЧНО,ADV -,,,"потом ветер , _конечно_ , уже был",о,н,ч,е,н,о,ADV,КОНЕЧНО,ADV -,О
10767,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10768,,уже,УЖЕ,ADV -,,,", конечно , _уже_ был не такой",е,ж,у,,,,ADV,УЖЕ,ADV -,Е
10769,,был,БЫТЬ,V ipf praet sg indic m -,,,"конечно , уже _был_ не такой сильный",л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
10770,,не,НЕ,PART,,,", уже был _не_ такой сильный ,",е,н,,,,,PART,НЕ,PART,Е
10771,,такой,ТАКОЙ,APRO - nom sg plen m -,,,"уже был не _такой_ сильный , деревья",й,о,к,а,т,,APRO,ТАКОЙ,A - nom sg plen m -,Й
10772,,сильный,СИЛЬНЫЙ,A - nom sg plen m -,,,"был не такой _сильный_ , деревья уже",й,ы,н,ь,л,и,A,СИЛЬНЫЙ,A - nom sg plen m -,Й
10773,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10774,,деревья,ДЕРЕВО,S n inan nom pl,,,"такой сильный , _деревья_ уже все попадали",я,ь,в,е,р,е,S,ДЕРЕВО,S n inan nom pl,О
10775,,уже,УЖЕ,ADV -,,,"сильный , деревья _уже_ все попадали ,",е,ж,у,,,,ADV,УЖЕ,ADV -,Е
10776,,все,ВСЕ,S - - nom pl,,,", деревья уже _все_ попадали , какие",е,с,в,,,,S,ВСЕ,S - - nom pl,Е
10777,,попадали,ПОПАДАТЬ,V ipf praet pl indic - -,,,"деревья уже все _попадали_ , какие могли",и,л,а,д,а,п,V,ПОПАДАТЬ,V ipf praet pl indic - -,Ь
10778,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10779,,какие,КАКОЙ,APRO - nom pl plen - -,,,"все попадали , _какие_ могли , а",е,и,к,а,к,,APRO,КАКОЙ,A - nom pl plen - -,Й
10780,,могли,МОЧЬ,V ipf praet pl indic - -,,,"попадали , какие _могли_ , а дождь",и,л,г,о,м,,V,МОЧЬ,V ipf praet pl indic - -,Ь
10781,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10782,,а,А,CONJ,,,"какие могли , _а_ дождь лил еще",а,,,,,,CONJ,А,CONJ,А
10783,,дождь,ДОЖДЬ,S m inan nom sg,,,"могли , а _дождь_ лил еще долго",ь,д,ж,о,д,,S,ДОЖДЬ,S m inan nom sg,Ь
10784,,лил,ЛИТЬ,V ipf praet sg indic m -,,,", а дождь _лил_ еще долго ,",л,и,л,,,,V,ЛИТЬ,V ipf praet sg indic m -,Ь
10785,,еще,ЕЩЕ,ADV -,,,"а дождь лил _еще_ долго , и",е,щ,е,,,,ADV,ЕЩЕ,ADV -,Е
10786,,долго,ДОЛГО,ADV -,,,"дождь лил еще _долго_ , и потом",о,г,л,о,д,,ADV,ДОЛГО,ADV -,О
10787,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10788,,и,И,CONJ,,,"еще долго , _и_ потом / потом",и,,,,,,CONJ,И,CONJ,И
10789,,потом,ПОТОМ,ADV -,,,"долго , и _потом_ / потом уже",м,о,т,о,п,,ADV,ПОТОМ,ADV -,М
10790,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10791,,потом,ПОТОМ,ADV -,,,"и потом / _потом_ уже , ну",м,о,т,о,п,,ADV,ПОТОМ,ADV -,М
10792,,уже,УЖЕ,ADV -,,,"потом / потом _уже_ , ну ,",е,ж,у,,,,ADV,УЖЕ,ADV -,Е
10793,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10794,,ну,НУ,PART,,,"потом уже , _ну_ , вернее ,",у,н,,,,,PART,НУ,PART,У
10795,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10796,,вернее,ВЕРНЕЕ,PARENTH,,,", ну , _вернее_ , включили радио",е,е,н,р,е,в,ADV,ВЕРНЕЕ,ADV -,Е
10797,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10798,,включили,ВКЛЮЧИТЬ,V pf praet pl indic - -,,,", вернее , _включили_ радио , когда",и,л,и,ч,ю,л,V,ВКЛЮЧИТЬ,V pf praet pl indic - -,Ь
10799,,радио,РАДИО,S n inan acc sg,,,"вернее , включили _радио_ , когда там",о,и,д,а,р,,S,РАДИО,S n inan nonflex -,О
10800,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10801,,когда,КОГДА,CONJ,,,"включили радио , _когда_ там поймали чего-то",а,д,г,о,к,,CONJ,КОГДА,CONJ,А
10802,,там,ТАМ,ADV -,,,"радио , когда _там_ поймали чего-то ,",м,а,т,,,,ADV,ТАМ,ADV -,М
10803,,поймали,ПОЙМАТЬ,V pf praet pl indic - -,,,", когда там _поймали_ чего-то , там",и,л,а,м,й,о,V,ПОЙМАТЬ,V pf praet pl indic - -,Ь
10804,,чего-то,ЧТО-ТО,SPRO n inan gen sg,,,"когда там поймали _чего-то_ , там не",о,т,-,о,г,е,SPRO,ЧТО-ТО,S n - gen sg,О
10805,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10806,,там,ТАМ,ADV -,,,"поймали чего-то , _там_ не очень -",м,а,т,,,,ADV,ТАМ,ADV -,М
10807,,не,НЕ,PART,,,"чего-то , там _не_ очень - то",е,н,,,,,PART,НЕ,PART,Е
10808,,очень,ОЧЕНЬ,ADV -,,,", там не _очень_ - то связь",ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
10809,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
10810,,то,ТО,CONJ,,,не очень - _то_ связь была тогда,о,т,,,,,CONJ,ТО,CONJ,О
10811,,связь,СВЯЗЬ,S f inan nom sg,,,"очень - то _связь_ была тогда ,",ь,з,я,в,с,,S,СВЯЗЬ,S f inan nom sg,Ь
10812,,была,БЫТЬ,V ipf praet sg indic f -,,,"- то связь _была_ тогда , в",а,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic f -,Ь
10813,,тогда,ТОГДА,ADV -,,,"то связь была _тогда_ , в глухомани",а,д,г,о,т,,ADV,ТОГДА,ADV -,А
10814,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10815,,в,В,PR,,,"была тогда , _в_ глухомани - то",в,,,,,,PR,В,PR,В
10816,,глухомани,ГЛУХОМАНЬ,S f inan loc sg,,,"тогда , в _глухомани_ - то ,",и,н,а,м,о,х,S,ГЛУХОМАНЬ,S f inan loc sg,Ь
10817,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
10818,,то,ТО,CONJ,,,"в глухомани - _то_ , вот ,",о,т,,,,,CONJ,ТО,CONJ,О
10819,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10820,,вот,ВОТ,PART,,,"- то , _вот_ , поймали ,",т,о,в,,,,PART,ВОТ,PART,Т
10821,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10822,,поймали,ПОЙМАТЬ,V pf praet pl indic - -,,,", вот , _поймали_ , оказалось ,",и,л,а,м,й,о,V,ПОЙМАТЬ,V pf praet pl indic - -,Ь
10823,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10824,,оказалось,ОКАЗАТЬСЯ,V pf praet sg indic n -,,,", поймали , _оказалось_ , что прошел",ь,с,о,л,а,з,V,ОКАЗАТЬСЯ,V pf praet sg indic n -,Я
10825,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10826,,что,ЧТО,CONJ,,,", оказалось , _что_ прошел ураган над",о,т,ч,,,,CONJ,ЧТО,CONJ,О
10827,,прошел,ПРОЙТИ,V pf praet sg indic m -,,,"оказалось , что _прошел_ ураган над всей",л,е,ш,о,р,п,V,ПРОЙТИ,V pf praet sg indic m -,И
10828,,ураган,УРАГАН,S m inan nom sg,,,", что прошел _ураган_ над всей Псковской",н,а,г,а,р,у,S,УРАГАН,S m inan nom sg,Н
10829,,над,НАД,PR,,,что прошел ураган _над_ всей Псковской областью,д,а,н,,,,PR,НАД,PR,Д
10830,,всей,ВЕСЬ,APRO - loc sg plen f -,,,"прошел ураган над _всей_ Псковской областью ,",й,е,с,в,,,APRO,ВЕСЬ,A - loc sg plen f -,Ь
10831,,Псковской,ПСКОВСКИЙ,A - loc sg plen f -,,,"ураган над всей _Псковской_ областью , это",й,о,к,с,в,о,A,ПСКОВСКИЙ,A - loc sg plen f -,Й
10832,,областью,ОБЛАСТЬ,S f inan ins sg,,,"над всей Псковской _областью_ , это все",ю,ь,т,с,а,л,S,ОБЛАСТЬ,S f inan ins sg,Ь
10833,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10834,,это,ЭТО,SPRO n - nom sg,,,"Псковской областью , _это_ все было под",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
10835,,все,ВСЕ,S n - nom sg,,,"областью , это _все_ было под Великими",е,с,в,,,,S,ВСЕ,S n - nom sg,Е
10836,,было,БЫТЬ,V ipf praet sg indic n -,,,", это все _было_ под Великими Луками",о,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic n -,Ь
10837,,под,ПОД,PR,,,"это все было _под_ Великими Луками ,",д,о,п,,,,PR,ПОД,PR,Д
10838,,Великими,ВЕЛИКИЙ,A - ins pl plen - -,,,"все было под _Великими_ Луками , над",и,м,и,к,и,л,A,ВЕЛИКИЙ,A - ins pl plen - -,Й
10839,,Луками,ЛУКИ,S m inan ins -,,,"было под Великими _Луками_ , над всей",и,м,а,к,у,л,S,ЛУК,S m inan ins pl,К
10840,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10841,,над,НАД,PR,,,"Великими Луками , _над_ всей Псковской областью",д,а,н,,,,PR,НАД,PR,Д
10842,,всей,ВЕСЬ,APRO - ins sg plen f -,,,"Луками , над _всей_ Псковской областью прошел",й,е,с,в,,,APRO,ВЕСЬ,A - loc sg plen f -,Ь
10843,,Псковской,ПСКОВСКИЙ,A - ins sg plen f -,,,", над всей _Псковской_ областью прошел ураган",й,о,к,с,в,о,A,ПСКОВСКИЙ,A - loc sg plen f -,Й
10844,,областью,ОБЛАСТЬ,S f inan ins sg,,,"над всей Псковской _областью_ прошел ураган ,",ю,ь,т,с,а,л,S,ОБЛАСТЬ,S f inan ins sg,Ь
10845,,прошел,ПРОЙТИ,V pf praet sg indic m -,,,"всей Псковской областью _прошел_ ураган , и",л,е,ш,о,р,п,V,ПРОЙТИ,V pf praet sg indic m -,И
10846,,ураган,УРАГАН,S m inan nom sg,,,"Псковской областью прошел _ураган_ , и разрушения",н,а,г,а,р,у,S,УРАГАН,S m inan nom sg,Н
10847,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10848,,и,И,CONJ,,,"прошел ураган , _и_ разрушения , и",и,,,,,,CONJ,И,CONJ,И
10849,,разрушения,РАЗРУШЕНИЕ,S n inan nom pl,,,"ураган , и _разрушения_ , и деревья",я,и,н,е,ш,у,S,РАЗРУШЕНИЕ,S n inan gen sg,Е
10850,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10851,,и,И,CONJ,,,"и разрушения , _и_ деревья попадали ,",и,,,,,,CONJ,И,CONJ,И
10852,,деревья,ДЕРЕВО,S n inan nom pl,,,"разрушения , и _деревья_ попадали , ну",я,ь,в,е,р,е,S,ДЕРЕВО,S n inan nom pl,О
10853,,попадали,ПОПАДАТЬ,V ipf praet pl indic - -,,,", и деревья _попадали_ , ну мы",и,л,а,д,а,п,V,ПОПАДАТЬ,V ipf praet pl indic - -,Ь
10854,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10855,,ну,НУ,PART,,,"деревья попадали , _ну_ мы это хорошо",у,н,,,,,PART,НУ,PART,У
10856,,мы,МЫ,SPRO pl 1p - nom,,,"попадали , ну _мы_ это хорошо ощутили",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
10857,,это,ЭТО,SPRO n - nom sg,,,", ну мы _это_ хорошо ощутили ,",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
10858,,хорошо,ХОРОШО,ADV -,,,"ну мы это _хорошо_ ощутили , поскольку",о,ш,о,р,о,х,ADV,ХОРОШО,ADV -,О
10859,,ощутили,ОЩУТИТЬ,V pf praet pl indic - -,,,"мы это хорошо _ощутили_ , поскольку ,",и,л,и,т,у,щ,V,ОЩУТИТЬ,V pf praet pl indic - -,Ь
10860,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10861,,поскольку,ПОСКОЛЬКУ,CONJ,,,"хорошо ощутили , _поскольку_ , когда мы",у,к,ь,л,о,к,CONJ,ПОСКОЛЬКУ,CONJ,У
10862,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10863,,когда,КОГДА,CONJ,,,", поскольку , _когда_ мы , ну",а,д,г,о,к,,CONJ,КОГДА,CONJ,А
10864,,мы,МЫ,SPRO pl 1p - nom,,,"поскольку , когда _мы_ , ну ,",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
10865,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10866,,ну,НУ,PART,,,"когда мы , _ну_ , через некоторое",у,н,,,,,PART,НУ,PART,У
10867,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10868,,через,ЧЕРЕЗ,PR,,,", ну , _через_ некоторое время нам",з,е,р,е,ч,,PR,ЧЕРЕЗ,PR,З
10869,,некоторое,НЕКОТОРЫЙ,APRO - acc sg plen n inan,,,"ну , через _некоторое_ время нам надо",е,о,р,о,т,о,APRO,НЕКОТОРЫЙ,A - acc sg plen n inan,Й
10870,,время,ВРЕМЯ,S n inan acc sg,,,", через некоторое _время_ нам надо было",я,м,е,р,в,,S,ВРЕМЯ,S n inan acc sg,Я
10871,,нам,МЫ,SPRO pl 1p - dat,,,через некоторое время _нам_ надо было уже,м,а,н,,,,SPRO,МЫ,SPRO pl 1p - dat,Ы
10872,,надо,НАДО,PRAEDIC,,,некоторое время нам _надо_ было уже уезжать,о,д,а,н,,,PRAEDIC,НАДО,ADV -,О
10873,,было,БЫТЬ,V ipf praet sg indic n -,,,"время нам надо _было_ уже уезжать ,",о,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic n -,Ь
10874,,уже,УЖЕ,ADV -,,,"нам надо было _уже_ уезжать , когда",е,ж,у,,,,ADV,УЖЕ,ADV -,Е
10875,,уезжать,УЕЗЖАТЬ,V ipf - - inf - -,,,"надо было уже _уезжать_ , когда родители",ь,т,а,ж,з,е,V,УЕЗЖАТЬ,V ipf - - inf - -,Ь
10876,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10877,,когда,КОГДА,CONJ,,,"уже уезжать , _когда_ родители пошли смотреть",а,д,г,о,к,,CONJ,КОГДА,CONJ,А
10878,,родители,РОДИТЕЛЬ,S m anim nom pl,,,"уезжать , когда _родители_ пошли смотреть дорогу",и,л,е,т,и,д,S,РОДИТЕЛЬ,S m anim nom pl,Ь
10879,,пошли,ПОЙТИ,V pf praet pl indic - -,,,", когда родители _пошли_ смотреть дорогу после",и,л,ш,о,п,,V,ПОЙТИ,V pf praet pl indic - -,И
10880,,смотреть,СМОТРЕТЬ,V ipf - - inf - -,,,когда родители пошли _смотреть_ дорогу после этого,ь,т,е,р,т,о,V,СМОТРЕТЬ,V ipf - - inf - -,Ь
10881,,дорогу,ДОРОГА,S f inan acc sg,,,родители пошли смотреть _дорогу_ после этого урагана,у,г,о,р,о,д,S,ДОРОГА,S f inan acc sg,А
10882,,после,ПОСЛЕ,PR,,,"пошли смотреть дорогу _после_ этого урагана ,",е,л,с,о,п,,PR,ПОСЛЕ,PR,Е
10883,,этого,ЭТОТ,APRO - gen sg plen m anim,,,"смотреть дорогу после _этого_ урагана , выяснилось",о,г,о,т,э,,APRO,ЭТО,S n - gen sg,Т
10884,,урагана,УРАГАН,S m inan gen sg,,,"дорогу после этого _урагана_ , выяснилось ,",а,н,а,г,а,р,S,УРАГАН,S m inan gen sg,Н
10885,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10886,,выяснилось,ВЫЯСНИТЬСЯ,V pf praet sg indic n -,,,"этого урагана , _выяснилось_ , что нам",ь,с,о,л,и,н,V,ВЫЯСНИТЬСЯ,V pf praet sg indic n -,Я
10887,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10888,,что,ЧТО,CONJ,,,", выяснилось , _что_ нам выезд надо",о,т,ч,,,,CONJ,ЧТО,CONJ,О
10889,,нам,МЫ,SPRO pl 1p - dat,,,"выяснилось , что _нам_ выезд надо пропиливать",м,а,н,,,,SPRO,МЫ,SPRO pl 1p - dat,Ы
10890,,выезд,ВЫЕЗД,S m inan acc sg,,,", что нам _выезд_ надо пропиливать себе",д,з,е,ы,в,,S,ВЫЕЗД,S m inan acc sg,Д
10891,,надо,НАДО,PRAEDIC,,,"что нам выезд _надо_ пропиливать себе ,",о,д,а,н,,,PRAEDIC,НАДО,ADV -,О
10892,,пропиливать,ПРОПИЛИВАТЬ,V ipf - - inf - -,,,"нам выезд надо _пропиливать_ себе , потому что",ь,т,а,в,и,л,V,ПРОПИЛИВАТЬ,V ipf - - inf - -,Ь
10893,,себе,СЕБЯ,SPRO - - - dat,,,"выезд надо пропиливать _себе_ , потому что поперек",е,б,е,с,,,SPRO,СЕБЯ,SPRO - - - dat,Я
10894,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10895,,потому что,потому что,CONJ,,,"пропиливать себе , _потому что_ поперек дороги лежало",о,т,ч,,у,м,CONJ,потому что,CONJ,о
10896,,поперек,ПОПЕРЕК,PR,,,"себе , потому что _поперек_ дороги лежало",к,е,р,е,п,о,PR,ПОПЕРЕК,PR,К
10897,,дороги,ДОРОГА,S f inan gen sg,,,", потому что поперек _дороги_ лежало  нек",и,г,о,р,о,д,S,ДОРОГА,S f inan gen sg,А
10898,,лежало,ЛЕЖАТЬ,V ipf praet sg indic n -,,,потому что поперек дороги _лежало_  нек,о,л,а,ж,е,л,V,ЛЕЖАТЬ,V ipf praet sg indic n -,Ь
10899,"<distinct form=""",,,,,,,,,,,,,,,,
10900,<dist>,нек,,,,,,,,,,,,,,,
10901,""">",,,,,,,,,,,,,,,,
10902,,несколько,НЕСКОЛЬКО,ADV -,,,нек  _несколько_  ... несколько,о,к,ь,л,о,к,ADV,НЕСКОЛЬКО,ADV -,О
10903,</distinct>,,,,,,,,,,,,,,,,
10904,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
10905,,несколько,НЕСКОЛЬКО,ADV -,,,несколько  ... _несколько_ / ээ /,о,к,ь,л,о,к,ADV,НЕСКОЛЬКО,ADV -,О
10906,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10907,,ээ,ЭЭ,NONLEX,,,... несколько / _ээ_ / это выезд,э,э,,,,,NONLEX,ЭЭ,NONLEX,Э
10908,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10909,,это,ЭТО,SPRO n - nom sg,,,/ ээ / _это_ выезд на большую,о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
10910,,выезд,ВЫЕЗД,S m inan nom sg,,,ээ / это _выезд_ на большую дорогу,д,з,е,ы,в,,S,ВЫЕЗД,S m inan nom sg,Д
10911,,на,НА,PR,,,/ это выезд _на_ большую дорогу .,а,н,,,,,PR,НА,PR,А
10912,,большую,БОЛЬШОЙ,A - acc sg plen f -,,,это выезд на _большую_ дорогу .,ю,у,ш,ь,л,о,A,БОЛЬШОЙ,A - acc sg plen f -,Й
10913,,дорогу,ДОРОГА,S f inan acc sg,,,выезд на большую _дорогу_ .,у,г,о,р,о,д,S,ДОРОГА,S f inan acc sg,А
10914,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
10915,,,,,,,,,,,,,,,,,
10916,# sent = 835,,,,,,,,,,,,,,,,
10917,# speaker = Т,,,,,,,,,,,,,,,,
10918,# sent = 836,,,,,,,,,,,,,,,,
10919,,Большая,БОЛЬШОЙ,A - nom sg plen f -,,,_Большая_ дорога тоже была,я,а,ш,ь,л,о,A,БОЛЬШОЙ,A - nom sg plen f -,Й
10920,,дорога,ДОРОГА,S f inan nom sg,,,Большая _дорога_ тоже была завалена,а,г,о,р,о,д,S,ДОРОГА,S f inan nom sg,А
10921,,тоже,ТОЖЕ,PART,,,"Большая дорога _тоже_ была завалена ,",е,ж,о,т,,,PART,ТОЖЕ,PART,Е
10922,,была,БЫТЬ,V ipf praet sg indic f -,,,"Большая дорога тоже _была_ завалена , но",а,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic f -,Ь
