0,#,FORM,LEMMA,GRAM,COMMENT,CHECKED,CONTEXT,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM,
10923,,завалена,ЗАВАЛИТЬ,PARTCP pf praet - sg brev f pass -,,,"дорога тоже была _завалена_ , но там",а,н,е,л,а,в,PARTCP,ЗАВАЛИТЬ,PARTCP pf praet - sg brev f pass -,Ь
10924,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10925,,но,НО,CONJ,,,"была завалена , _но_ там работали уже",о,н,,,,,CONJ,НО,CONJ,О
10926,,там,ТАМ,ADV -,,,"завалена , но _там_ работали уже специалисты",м,а,т,,,,ADV,ТАМ,ADV -,М
10927,,работали,РАБОТАТЬ,V ipf praet pl indic - -,,,", но там _работали_ уже специалисты по",и,л,а,т,о,б,V,РАБОТАТЬ,V ipf praet pl indic - -,Ь
10928,,уже,УЖЕ,ADV -,,,но там работали _уже_ специалисты по пропиливанию,е,ж,у,,,,ADV,УЖЕ,ADV -,Е
10929,,специалисты,СПЕЦИАЛИСТ,S m anim nom pl,,,там работали уже _специалисты_ по пропиливанию дороги,ы,т,с,и,л,а,S,СПЕЦИАЛИСТ,S m anim nom pl,Т
10930,,по,ПО,PR,,,"работали уже специалисты _по_ пропиливанию дороги ,",о,п,,,,,PR,ПО,PR,О
10931,,пропиливанию,ПРОПИЛИВАНИЕ,S n inan dat sg,,,"уже специалисты по _пропиливанию_ дороги , а",ю,и,н,а,в,и,S,ПРОПИЛИВАНИЕ,S n inan dat sg,Е
10932,,дороги,ДОРОГА,S f inan gen sg,,,"специалисты по пропиливанию _дороги_ , а эту",и,г,о,р,о,д,S,ДОРОГА,S f inan gen sg,А
10933,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10934,,а,А,CONJ,,,"пропиливанию дороги , _а_ эту дорогу пришлось",а,,,,,,CONJ,А,CONJ,А
10935,,эту,ЭТОТ,APRO - acc sg plen f -,,,"дороги , а _эту_ дорогу пришлось пропиливать",у,т,э,,,,APRO,ЭТОТ,A - acc sg plen f -,Т
10936,,дорогу,ДОРОГА,S f inan acc sg,,,", а эту _дорогу_ пришлось пропиливать нам",у,г,о,р,о,д,S,ДОРОГА,S f inan acc sg,А
10937,,пришлось,ПРИЙТИСЬ,V pf praet sg indic n -,,,а эту дорогу _пришлось_ пропиливать нам самим,ь,с,о,л,ш,и,V,ПРИЙТИСЬ,V pf praet sg indic n -,Ь
10938,,пропиливать,ПРОПИЛИВАТЬ,V ipf - - inf - -,,,"эту дорогу пришлось _пропиливать_ нам самим ,",ь,т,а,в,и,л,V,ПРОПИЛИВАТЬ,V ipf - - inf - -,Ь
10939,,нам,МЫ,SPRO pl 1p - dat,,,"дорогу пришлось пропиливать _нам_ самим , и",м,а,н,,,,SPRO,МЫ,SPRO pl 1p - dat,Ы
10940,,самим,САМ,A - dat pl plen m -,,,"пришлось пропиливать нам _самим_ , и уже",м,и,м,а,с,,A,САМ,A - ins sg plen m -,М
10941,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10942,,и,И,CONJ,,,"нам самим , _и_ уже было ни",и,,,,,,CONJ,И,CONJ,И
10943,,уже,УЖЕ,ADV -,,,"самим , и _уже_ было ни до",е,ж,у,,,,ADV,УЖЕ,ADV -,Е
10944,,было,БЫТЬ,V ipf praet sg indic n -,,,", и уже _было_ ни до грибов",о,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic n -,Ь
10945,,ни,НИ,PART,,,"и уже было _ни_ до грибов ,",и,н,,,,,PART,НИ,PART,И
10946,,до,ДО,PR,,,"уже было ни _до_ грибов , ни",о,д,,,,,PR,ДО,PR,О
10947,,грибов,ГРИБ,S m inan gen pl,,,"было ни до _грибов_ , ни до",в,о,б,и,р,г,S,ГРИБ,S m inan gen pl,Б
10948,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10949,,ни,НИ,CONJ,,,"до грибов , _ни_ до ягод ,",и,н,,,,,CONJ,НИ,CONJ,И
10950,,до,ДО,PR,,,"грибов , ни _до_ ягод , ни",о,д,,,,,PR,ДО,PR,О
10951,,ягод,ЯГОДА,S f inan gen pl,,,", ни до _ягод_ , ни до",д,о,г,я,,,S,ЯГОДА,S f inan gen pl,А
10952,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10953,,ни,НИ,CONJ,,,"до ягод , _ни_ до рыбалки особенно",и,н,,,,,CONJ,НИ,CONJ,И
10954,,до,ДО,PR,,,"ягод , ни _до_ рыбалки особенно ,",о,д,,,,,PR,ДО,PR,О
10955,,рыбалки,РЫБАЛКА,S f inan gen sg,,,", ни до _рыбалки_ особенно , ну",и,к,л,а,б,ы,S,РЫБАЛКА,S f inan gen sg,А
10956,,особенно,ОСОБЕННО,ADV -,,,"ни до рыбалки _особенно_ , ну ,",о,н,н,е,б,о,ADV,ОСОБЕННО,ADV -,О
10957,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10958,,ну,НУ,PART,,,"рыбалки особенно , _ну_ , рыбалка ,",у,н,,,,,PART,НУ,PART,У
10959,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10960,,рыбалка,РЫБАЛКА,S f inan nom sg,,,", ну , _рыбалка_ , правда ,",а,к,л,а,б,ы,S,РЫБАЛКА,S f inan nom sg,А
10961,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10962,,правда,ПРАВДА,ADV -,,,", рыбалка , _правда_ , она обычно",а,д,в,а,р,п,ADV,ПРАВДА,ADV -,А
10963,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10964,,она,ОНА,SPRO sg 3p f nom,,,", правда , _она_ обычно  перьвее",а,н,о,,,,SPRO,ОНА,SPRO sg 3p f nom,А
10965,,обычно,ОБЫЧНО,ADV -,,,"правда , она _обычно_  перьвее",о,н,ч,ы,б,о,ADV,ОБЫЧНО,ADV -,О
10966,"<distinct form=""",,,,,,,,,,,,,,,,
10967,<dist>,перьвее,,,,,,,,,,,,,,,
10968,""">",,,,,,,,,,,,,,,,
10969,,первее,ПЕРВЫЙ,A comp - - plen - -,,,"перьвее  _первее_  , чем",е,е,в,р,е,п,A,ПЕРВЕЙ,S m anim loc sg,Й
10970,</distinct>,,,,,,,,,,,,,,,,
10971,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10972,,чем,ЧЕМ,CONJ,,,"первее  , _чем_ все остальное ,",м,е,ч,,,,CONJ,ЧЕМ,CONJ,М
10973,,все,ВЕСЬ,APRO - acc pl plen - inan,,,", чем _все_ остальное , у",е,с,в,,,,APRO,ВЕСЬ,A - acc pl plen - inan,Ь
10974,,остальное,ОСТАЛЬНОЕ,S n inan nom sg,,,", чем все _остальное_ , у мужчин",е,о,н,ь,л,а,S,ОСТАЛЬНОЕ,S n inan nom sg,Е
10975,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10976,,у,У,PR,,,"все остальное , _у_ мужчин , вот",у,,,,,,PR,У,PR,У
10977,,мужчин,МУЖЧИНА,S m anim gen pl,,,"остальное , у _мужчин_ , вот .",н,и,ч,ж,у,м,S,МУЖЧИНА,S m anim gen pl,А
10978,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10979,,вот,ВОТ,PART,,,"у мужчин , _вот_ .",т,о,в,,,,PART,ВОТ,PART,Т
10980,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
10981,,,,,,,,,,,,,,,,,
10982,# sent = 837,,,,,,,,,,,,,,,,
10983,,И,И,CONJ,,,.   _И_ они пропиливали дорогу,и,,,,,,CONJ,И,CONJ,И
10984,,они,ОНИ,SPRO pl - - nom,,,"И _они_ пропиливали дорогу ,",и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,И
10985,,пропиливали,ПРОПИЛИВАТЬ,V ipf praet pl indic - -,,,"И они _пропиливали_ дорогу , спускали",и,л,а,в,и,л,V,ПРОПИЛИВАТЬ,V ipf praet pl indic - -,Ь
10986,,дорогу,ДОРОГА,S f inan acc sg,,,"И они пропиливали _дорогу_ , спускали лужи",у,г,о,р,о,д,S,ДОРОГА,S f inan acc sg,А
10987,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10988,,спускали,СПУСКАТЬ,V ipf praet pl indic - -,,,"пропиливали дорогу , _спускали_ лужи с дороги",и,л,а,к,с,у,V,СПУСКАТЬ,V ipf praet pl indic - -,Ь
10989,,лужи,ЛУЖА,S f inan nom pl,,,"дорогу , спускали _лужи_ с дороги ,",и,ж,у,л,,,S,ЛУЖА,S f inan nom pl,А
10990,,с,С,PR,,,", спускали лужи _с_ дороги , поскольку",с,,,,,,PR,С,PR,С
10991,,дороги,ДОРОГА,S f inan gen sg,,,"спускали лужи с _дороги_ , поскольку мы",и,г,о,р,о,д,S,ДОРОГА,S f inan gen sg,А
10992,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10993,,поскольку,ПОСКОЛЬКУ,CONJ,,,"с дороги , _поскольку_ мы не на",у,к,ь,л,о,к,CONJ,ПОСКОЛЬКУ,CONJ,У
10994,,мы,МЫ,SPRO pl 1p - nom,,,"дороги , поскольку _мы_ не на",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
10995,,не,НЕ,PART,,,", поскольку мы _не_ на  вс",е,н,,,,,PART,НЕ,PART,Е
10996,,на,НА,PR,,,поскольку мы не _на_  вс,а,н,,,,,PR,НА,PR,А
10997,"<distinct form=""",,,,,,,,,,,,,,,,
10998,<dist>,вс,,,,,,,,,,,,,,,
10999,""">",,,,,,,,,,,,,,,,
11000,,всякую,ВСЯКИЙ,A - acc sg plen f -,,,вс  _всякую_  .. не,ю,у,к,я,с,в,A,ВСЯКИЙ,A - acc sg plen f -,Й
11001,</distinct>,,,,,,,,,,,,,,,,
11002,,..,..,PUNCT,,,,,,,,,,PUNCT,,,
11003,,не,НЕ,PART,,,всякую  .. _не_ через всякую лужу,е,н,,,,,PART,НЕ,PART,Е
11004,,через,ЧЕРЕЗ,PR,,,.. не _через_ всякую лужу могли,з,е,р,е,ч,,PR,ЧЕРЕЗ,PR,З
11005,,всякую,ВСЯКИЙ,A - acc sg plen f -,,,.. не через _всякую_ лужу могли проехать,ю,у,к,я,с,в,A,ВСЯКИЙ,A - acc sg plen f -,Й
11006,,лужу,ЛУЖА,S f inan acc sg,,,"не через всякую _лужу_ могли проехать ,",у,ж,у,л,,,S,ЛУЖА,S f inan acc sg,А
11007,,могли,МОЧЬ,V ipf praet pl indic - -,,,"через всякую лужу _могли_ проехать , а",и,л,г,о,м,,V,МОЧЬ,V ipf praet pl indic - -,Ь
11008,,проехать,ПРОЕХАТЬ,V pf - - inf - -,,,"всякую лужу могли _проехать_ , а ,",ь,т,а,х,е,о,V,ПРОЕХАТЬ,V pf - - inf - -,Ь
11009,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11010,,а,А,CONJ,,,"могли проехать , _а_ , когда вода",а,,,,,,CONJ,А,CONJ,А
11011,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11012,,когда,КОГДА,CONJ,,,", а , _когда_ вода , там",а,д,г,о,к,,CONJ,КОГДА,CONJ,А
11013,,вода,ВОДА,S f inan nom sg,,,"а , когда _вода_ , там надо",а,д,о,в,,,S,ВОДА,S f inan nom sg,А
11014,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11015,,там,ТАМ,ADV -,,,"когда вода , _там_ надо было прорыть",м,а,т,,,,ADV,ТАМ,ADV -,М
11016,,надо,НАДО,PRAEDIC,,,"вода , там _надо_ было прорыть канавку",о,д,а,н,,,PRAEDIC,НАДО,ADV -,О
11017,,было,БЫТЬ,V ipf praet sg indic n -,,,", там надо _было_ прорыть канавку ,",о,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic n -,Ь
11018,,прорыть,ПРОРЫТЬ,V pf - - inf - -,,,"там надо было _прорыть_ канавку , чтобы",ь,т,ы,р,о,р,V,ПРОРЫТЬ,V pf - - inf - -,Ь
11019,,канавку,КАНАВКА,S f inan acc sg,,,"надо было прорыть _канавку_ , чтобы вода",у,к,в,а,н,а,S,КАНАВКА,S f inan acc sg,А
11020,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11021,,чтобы,ЧТОБЫ,CONJ,,,"прорыть канавку , _чтобы_ вода стекла .",ы,б,о,т,ч,,CONJ,ЧТОБЫ,CONJ,Ы
11022,,вода,ВОДА,S f inan nom sg,,,"канавку , чтобы _вода_ стекла .",а,д,о,в,,,S,ВОДА,S f inan nom sg,А
11023,,стекла,СТЕЧЬ,V pf praet sg indic f -,,,", чтобы вода _стекла_ .",а,л,к,е,т,с,S,СТЕКЛО,S n inan gen sg,О
11024,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
11025,,,,,,,,,,,,,,,,,
11026,# sent = 838,,,,,,,,,,,,,,,,
11027,# speaker = Т,,,,,,,,,,,,,,,,
11028,# sent = 839,,,,,,,,,,,,,,,,
11029,,Но,НО,CONJ,,,"_Но_ ураган , когда",о,н,,,,,CONJ,НО,CONJ,О
11030,,ураган,УРАГАН,S m inan nom sg,,,"Но _ураган_ , когда мы",н,а,г,а,р,у,S,УРАГАН,S m inan nom sg,Н
11031,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11032,,когда,КОГДА,CONJ,,,"Но ураган , _когда_ мы дальше",а,д,г,о,к,,CONJ,КОГДА,CONJ,А
11033,,мы,МЫ,SPRO pl 1p - nom,,,"ураган , когда _мы_ дальше  ех",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
11034,,дальше,ДАЛЕКО,ADV comp,,,", когда мы _дальше_  ех",е,ш,ь,л,а,д,ADV,ДАЛЕКО,ADV comp,О
11035,"<distinct form=""",,,,,,,,,,,,,,,,
11036,<dist>,ех,,,,,,,,,,,,,,,
11037,""">",,,,,,,,,,,,,,,,
11038,,ехали,ЕХАТЬ,V ipf praet pl indic - -,,,ех  _ехали_  .. потом,и,л,а,х,е,,V,ЕХАТЬ,V ipf praet pl indic - -,Ь
11039,</distinct>,,,,,,,,,,,,,,,,
11040,,..,..,PUNCT,,,,,,,,,,PUNCT,,,
11041,,потом,ПОТОМ,ADV -,,,"ехали  .. _потом_ ехали обратно ,",м,о,т,о,п,,ADV,ПОТОМ,ADV -,М
11042,,ехали,ЕХАТЬ,V ipf praet pl indic - -,,,".. потом _ехали_ обратно , мы",и,л,а,х,е,,V,ЕХАТЬ,V ipf praet pl indic - -,Ь
11043,,обратно,ОБРАТНО,ADV -,,,".. потом ехали _обратно_ , мы видели",о,н,т,а,р,б,ADV,ОБРАТНО,ADV -,О
11044,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11045,,мы,МЫ,SPRO pl 1p - nom,,,"ехали обратно , _мы_ видели , что",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
11046,,видели,ВИДЕТЬ,V ipf praet pl indic - -,,,"обратно , мы _видели_ , что там",и,л,е,д,и,в,V,ВИДЕТЬ,V ipf praet pl indic - -,Ь
11047,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11048,,что,ЧТО,CONJ,,,"мы видели , _что_ там нам еще",о,т,ч,,,,CONJ,ЧТО,CONJ,О
11049,,там,ТАМ,ADV -,,,"видели , что _там_ нам еще повезло",м,а,т,,,,ADV,ТАМ,ADV -,М
11050,,нам,МЫ,SPRO pl 1p - dat,,,", что там _нам_ еще повезло ,",м,а,н,,,,SPRO,МЫ,SPRO pl 1p - dat,Ы
11051,,еще,ЕЩЕ,ADV -,,,"что там нам _еще_ повезло , потому что",е,щ,е,,,,ADV,ЕЩЕ,ADV -,Е
11052,,повезло,ПОВЕЗТИ,V pf praet sg indic n -,,,"там нам еще _повезло_ , потому что в",о,л,з,е,в,о,V,ПОВЕЗТИ,V pf praet sg indic n -,И
11053,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11054,,потому что,потому что,CONJ,,,"еще повезло , _потому что_ в некоторых местах",о,т,ч,,у,м,CONJ,потому что,CONJ,о
11055,,в,В,PR,,,"повезло , потому что _в_ некоторых местах ураган",в,,,,,,PR,В,PR,В
11056,,некоторых,НЕКОТОРЫЙ,APRO - loc pl plen - -,,,", потому что в _некоторых_ местах ураган прошел",х,ы,р,о,т,о,APRO,НЕКОТОРЫЙ,A - loc pl plen - -,Й
11057,,местах,МЕСТО,S n inan loc pl,,,потому что в некоторых _местах_ ураган прошел с,х,а,т,с,е,м,S,МЕСТО,S n inan loc pl,О
11058,,ураган,УРАГАН,S m inan nom sg,,,в некоторых местах _ураган_ прошел с такой,н,а,г,а,р,у,S,УРАГАН,S m inan nom sg,Н
11059,,прошел,ПРОЙТИ,V pf praet sg indic m -,,,некоторых местах ураган _прошел_ с такой силой,л,е,ш,о,р,п,V,ПРОЙТИ,V pf praet sg indic m -,И
11060,,с,С,PR,,,"местах ураган прошел _с_ такой силой ,",с,,,,,,PR,С,PR,С
11061,,такой,ТАКОЙ,APRO - ins sg plen f -,,,"ураган прошел с _такой_ силой , что",й,о,к,а,т,,APRO,ТАКОЙ,A - ins sg plen f -,Й
11062,,силой,СИЛА,S f inan ins sg,,,"прошел с такой _силой_ , что получились",й,о,л,и,с,,S,СИЛА,S f inan ins sg,А
11063,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11064,,что,ЧТО,CONJ,,,"такой силой , _что_ получились практически просеки",о,т,ч,,,,CONJ,ЧТО,CONJ,О
11065,,получились,ПОЛУЧИТЬСЯ,V pf praet pl indic - -,,,"силой , что _получились_ практически просеки из",ь,с,и,л,и,ч,V,ПОЛУЧИТЬСЯ,V pf praet pl indic - -,Я
11066,,практически,ПРАКТИЧЕСКИ,ADV -,,,", что получились _практически_ просеки из поваленных",и,к,с,е,ч,и,ADV,ПРАКТИЧЕСКИ,ADV -,И
11067,,просеки,ПРОСЕКА,S f inan nom pl,,,что получились практически _просеки_ из поваленных деревьев,и,к,е,с,о,р,S,ПРОСЕКА,S f inan nom pl,А
11068,,из,ИЗ,PR,,,"получились практически просеки _из_ поваленных деревьев ,",з,и,,,,,PR,ИЗ,PR,З
11069,,поваленных,ПОВАЛИТЬ,PARTCP pf praet loc pl plen - pass -,,,"практически просеки из _поваленных_ деревьев , и",х,ы,н,н,е,л,PARTCP,ПОВАЛИТЬ,PARTCP pf praet loc pl plen - pass -,Ь
11070,,деревьев,ДЕРЕВО,S n inan gen pl,,,"просеки из поваленных _деревьев_ , и было",в,е,ь,в,е,р,S,ДЕРЕВО,S n inan gen pl,О
11071,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11072,,и,И,CONJ,,,"поваленных деревьев , _и_ было видно ,",и,,,,,,CONJ,И,CONJ,И
11073,,было,БЫТЬ,V ipf praet sg indic n -,,,"деревьев , и _было_ видно , как",о,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic n -,Ь
11074,,видно,ВИДНО,ADV -,,,", и было _видно_ , как вот",о,н,д,и,в,,ADV,ВИДНО,ADV -,О
11075,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11076,,как,КАК,CONJ,,,"было видно , _как_ вот  прям",к,а,к,,,,CONJ,КАК,CONJ,К
11077,,вот,ВОТ,PART,,,"видно , как _вот_  прям",т,о,в,,,,PART,ВОТ,PART,Т
11078,"<distinct form=""",,,,,,,,,,,,,,,,
11079,<dist>,прям,,,,,,,,,,,,,,,
11080,""">",,,,,,,,,,,,,,,,
11081,,прямо,ПРЯМО,ADV -,,,прям  _прямо_  полосой шел,о,м,я,р,п,,ADV,ПРЯМО,ADV -,О
11082,</distinct>,,,,,,,,,,,,,,,,
11083,,полосой,ПОЛОСА,S f inan ins sg,,,прямо  _полосой_ шел ветер и,й,о,с,о,л,о,S,ПОЛОСА,S f inan ins sg,А
11084,,шел,ИДТИ,V ipf praet sg indic m -,,,прямо  полосой _шел_ ветер и все,л,е,ш,,,,V,ИДТИ,V ipf praet sg indic m -,И
11085,,ветер,ВЕТЕР,S m inan nom sg,,,полосой шел _ветер_ и все /,р,е,т,е,в,,S,ВЕТЕР,S m inan nom sg,Р
11086,,и,И,CONJ,,,полосой шел ветер _и_ все / все,и,,,,,,CONJ,И,CONJ,И
11087,,все,ВСЕ,S - - nom sg,,,шел ветер и _все_ / все /,е,с,в,,,,S,ВСЕ,S - - nom pl,Е
11088,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
11089,,все,ВСЕ,S - - nom sg,,,и все / _все_ / все лежало,е,с,в,,,,S,ВСЕ,S - - acc pl,Е
11090,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
11091,,все,ВСЕ,S - - nom sg,,,"/ все / _все_ лежало , и",е,с,в,,,,S,ВСЕ,S - - acc pl,Е
11092,,лежало,ЛЕЖАТЬ,V ipf praet sg indic n -,,,"все / все _лежало_ , и кругом",о,л,а,ж,е,л,V,ЛЕЖАТЬ,V ipf praet sg indic n -,Ь
11093,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11094,,и,И,CONJ,,,"все лежало , _и_ кругом работали рабочие",и,,,,,,CONJ,И,CONJ,И
11095,,кругом,КРУГОМ,ADV -,,,"лежало , и _кругом_ работали рабочие ,",м,о,г,у,р,к,ADV,КРУГОМ,ADV -,М
11096,,работали,РАБОТАТЬ,V ipf praet pl indic - -,,,", и кругом _работали_ рабочие , которые",и,л,а,т,о,б,V,РАБОТАТЬ,V ipf praet pl indic - -,Ь
11097,,рабочие,РАБОЧИЙ,S m anim nom pl,,,"и кругом работали _рабочие_ , которые освобождали",е,и,ч,о,б,а,S,РАБОЧИЙ,S m anim nom pl,Й
11098,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11099,,которые,КОТОРЫЙ,APRO - nom pl plen - -,,,"работали рабочие , _которые_ освобождали всякие ...",е,ы,р,о,т,о,APRO,КОТОРЫЙ,A - nom pl plen - -,Й
11100,,освобождали,ОСВОБОЖДАТЬ,V ipf praet pl indic - -,,,"рабочие , которые _освобождали_ всякие ... все",и,л,а,д,ж,о,V,ОСВОБОЖДАТЬ,V ipf praet pl indic - -,Ь
11101,,всякие,ВСЯКИЙ,A - acc pl plen - inan,,,", которые освобождали _всякие_ ... все проезжие",е,и,к,я,с,в,A,ВСЯКИЙ,A - acc pl plen - inan,Й
11102,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
11103,,все,ВЕСЬ,APRO - nom pl plen - -,,,освобождали всякие ... _все_ проезжие дороги .,е,с,в,,,,APRO,ВЕСЬ,A - nom pl plen - -,Ь
11104,,проезжие,ПРОЕЗЖИЙ,A - nom pl plen - -,,,всякие ... все _проезжие_ дороги .,е,и,ж,з,е,о,A,ПРОЕЗЖИЙ,A - nom pl plen - -,Й
11105,,дороги,ДОРОГА,S f inan nom pl,,,... все проезжие _дороги_ .,и,г,о,р,о,д,S,ДОРОГА,S f inan nom pl,А
11106,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
11107,,,,,,,,,,,,,,,,,
11108,# sent = 840,,,,,,,,,,,,,,,,
11109,# speaker = Т,,,,,,,,,,,,,,,,
11110,# sent = 841,,,,,,,,,,,,,,,,
11111,,Ну,НУ,PART,,,"_Ну_ ,  фактичес",у,н,,,,,PART,НУ,PART,У
11112,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11113,"<distinct form=""",,,,,,,,,,,,,,,,
11114,<dist>,фактичес,,,,,,,,,,,,,,,
11115,""">",,,,,,,,,,,,,,,,
11116,,фактически,ФАКТИЧЕСКИ,ADV -,,,фактичес  _фактически_  .. в,и,к,с,е,ч,и,ADV,ФАКТИЧЕСКИ,ADV -,И
11117,</distinct>,,,,,,,,,,,,,,,,
11118,,..,..,PUNCT,,,,,,,,,,PUNCT,,,
11119,,в,В,PR,,,фактически  .. _в_ общем - то,в,,,,,,PR,В,PR,В
11120,,общем,ОБЩИЙ,A - loc sg plen m -,,,.. в _общем_ - то вот,м,е,щ,б,о,,A,ОБЩИЙ,A - loc sg plen m -,Й
11121,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
11122,,то,ТО,CONJ,,,в общем - _то_ вот и все,о,т,,,,,CONJ,ТО,CONJ,О
11123,,вот,ВОТ,PART,,,"общем - то _вот_ и все ,",т,о,в,,,,PART,ВОТ,PART,Т
11124,,и,И,CONJ,,,"- то вот _и_ все , больше",и,,,,,,CONJ,И,CONJ,И
11125,,всё,ВСЁ,S - - nom sg,,,"то вот и _все_ , больше я",е,с,в,,,,S,ВСЕ,S - - nom pl,Е
11126,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11127,,больше,БОЛЬШЕ,ADV -,,,"и все , _больше_ я даже не",е,ш,ь,л,о,б,ADV,БОЛЬШЕ,ADV -,Е
11128,,я,Я,SPRO sg 1p - nom,,,"все , больше _я_ даже не",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
11129,,даже,ДАЖЕ,PART,,,", больше я _даже_ не  зн",е,ж,а,д,,,PART,ДАЖЕ,PART,Е
11130,,не,НЕ,PART,,,больше я даже _не_  зн,е,н,,,,,PART,НЕ,PART,Е
11131,"<distinct form=""",,,,,,,,,,,,,,,,
11132,<dist>,зн,,,,,,,,,,,,,,,
11133,""">",,,,,,,,,,,,,,,,
11134,,знаю,ЗНАТЬ,V ipf praes sg indic - 1p,,,зн  _знаю_  .. ну,ю,а,н,з,,,V,ЗНАТЬ,V ipf praes sg indic - 1p,Ь
11135,</distinct>,,,,,,,,,,,,,,,,
11136,,..,..,PUNCT,,,,,,,,,,PUNCT,,,
11137,,ну,НУ,PART,,,знаю  .. _ну_ не знаю больше,у,н,,,,,PART,НУ,PART,У
11138,,не,НЕ,PART,,,".. ну _не_ знаю больше ,",е,н,,,,,PART,НЕ,PART,Е
11139,,знаю,ЗНАТЬ,V ipf praes sg indic - 1p,,,".. ну не _знаю_ больше , что",ю,а,н,з,,,V,ЗНАТЬ,V ipf praes sg indic - 1p,Ь
11140,,больше,БОЛЬШЕ,ADV -,,,"ну не знаю _больше_ , что сказать",е,ш,ь,л,о,б,ADV,БОЛЬШЕ,ADV -,Е
11141,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11142,,что,ЧТО,CONJ,,,"знаю больше , _что_ сказать .",о,т,ч,,,,CONJ,ЧТО,CONJ,О
11143,,сказать,СКАЗАТЬ,V pf - - inf - -,,,"больше , что _сказать_ .",ь,т,а,з,а,к,V,СКАЗАТЬ,V pf - - inf - -,Ь
11144,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
11145,,,,,,,,,,,,,,,,,